txn_id,wh_id,material_id,inv_txn_type_cd,txn_dt_key,txn_qty,ref_doc_no,txn_uom_cd,operator_nm,reason_cd
21,WH_E_RM,MAT_RM_2001,ADJ,20250115,2,REF00021,EA,SYSTEM,NORMAL
22,WH_E_RM,MAT_RM_2002,RCV,20250115,34,REF00022,EA,SYSTEM,NORMAL
23,WH_E_RM,MAT_RM_2002,ISS,20250115,-34,REF00023,EA,SYSTEM,NORMAL
24,WH_E_RM,MAT_RM_2002,ADJ,20250115,2,REF00024,EA,SYSTEM,NORMAL
25,WH_E_RM,MAT_RM_2003,RCV,20250115,36,REF00025,EA,SYSTEM,NORMAL
26,WH_E_RM,MAT_RM_2003,ISS,20250115,-36,REF00026,EA,SYSTEM,NORMAL
27,WH_E_RM,MAT_RM_2003,ADJ,20250115,2,REF00027,EA,SYSTEM,NORMAL
28,WH_E_RM,MAT_RM_2004,RCV,20250115,38,REF00028,EA,SYSTEM,NORMAL
29,WH_E_RM,MAT_RM_2004,ISS,20250115,-38,REF00029,EA,SYSTEM,NORMAL
30,WH_E_RM,MAT_RM_2004,ADJ,20250115,2,REF00030,EA,SYSTEM,NORMAL
31,WH_E_RM,MAT_RM_2005,RCV,20250115,40,REF00031,EA,SYSTEM,NORMAL
32,WH_E_RM,MAT_RM_2005,ISS,20250115,-40,REF00032,EA,SYSTEM,NORMAL
33,WH_E_RM,MAT_RM_2005,ADJ,20250115,2,REF00033,EA,SYSTEM,NORMAL
34,WH_E_RM,MAT_RM_2006,RCV,20250115,42,REF00034,EA,SYSTEM,NORMAL
35,WH_E_RM,MAT_RM_2006,ISS,20250115,-42,REF00035,EA,SYSTEM,NORMAL
36,WH_E_RM,MAT_RM_2006,ADJ,20250115,2,REF00036,EA,SYSTEM,NORMAL
37,WH_E_RM,MAT_RM_2007,RCV,20250115,44,REF00037,EA,SYSTEM,NORMAL
38,WH_E_RM,MAT_RM_2007,ISS,20250115,-44,REF00038,EA,SYSTEM,NORMAL
39,WH_E_RM,MAT_RM_2007,ADJ,20250115,2,REF00039,EA,SYSTEM,NORMAL
40,WH_E_RM,MAT_RM_2008,RCV,20250115,46,REF00040,EA,SYSTEM,NORMAL
41,WH_E_RM,MAT_RM_2008,ISS,20250115,-46,REF00041,EA,SYSTEM,NORMAL
42,WH_E_RM,MAT_RM_2008,ADJ,20250115,2,REF00042,EA,SYSTEM,NORMAL
43,WH_E_RM,MAT_RM_2009,RCV,20250115,48,REF00043,EA,SYSTEM,NORMAL
44,WH_E_RM,MAT_RM_2009,ISS,20250115,-48,REF00044,EA,SYSTEM,NORMAL
45,WH_E_RM,MAT_RM_2009,ADJ,20250115,2,REF00045,EA,SYSTEM,NORMAL
46,WH_E_RM,MAT_RM_2010,RCV,20250115,50,REF00046,EA,SYSTEM,NORMAL
47,WH_E_RM,MAT_RM_2010,ISS,20250115,-50,REF00047,EA,SYSTEM,NORMAL
48,WH_E_RM,MAT_RM_2010,ADJ,20250115,2,REF00048,EA,SYSTEM,NORMAL
49,WH_E_FG,MAT_FG_1001,RCV,20250115,20,REF00049,EA,SYSTEM,NORMAL
50,WH_E_FG,MAT_FG_1001,ISS,20250115,0,REF00050,EA,SYSTEM,NORMAL
51,WH_E_FG,MAT_FG_1001,ADJ,20250115,2,REF00051,EA,SYSTEM,NORMAL
52,WH_E_FG,MAT_FG_1002,RCV,20250115,22,REF00052,EA,SYSTEM,NORMAL
53,WH_E_FG,MAT_FG_1002,ISS,20250115,0,REF00053,EA,SYSTEM,NORMAL
54,WH_E_FG,MAT_FG_1002,ADJ,20250115,2,REF00054,EA,SYSTEM,NORMAL
55,WH_E_FG,MAT_FG_1003,RCV,20250115,24,REF00055,EA,SYSTEM,NORMAL
56,WH_E_FG,MAT_FG_1003,ISS,20250115,0,REF00056,EA,SYSTEM,NORMAL
57,WH_E_FG,MAT_FG_1003,ADJ,20250115,2,REF00057,EA,SYSTEM,NORMAL
58,WH_E_FG,MAT_FG_1004,RCV,20250115,26,REF00058,EA,SYSTEM,NORMAL
59,WH_E_FG,MAT_FG_1004,ISS,20250115,0,REF00059,EA,SYSTEM,NORMAL
60,WH_E_FG,MAT_FG_1004,ADJ,20250115,2,REF00060,EA,SYSTEM,NORMAL
61,WH_E_FG,MAT_FG_1005,RCV,20250115,28,REF00061,EA,SYSTEM,NORMAL
62,WH_E_FG,MAT_FG_1005,ISS,20250115,0,REF00062,EA,SYSTEM,NORMAL
63,WH_E_FG,MAT_FG_1005,ADJ,20250115,2,REF00063,EA,SYSTEM,NORMAL
64,WH_E_FG,MAT_FG_1006,RCV,20250115,30,REF00064,EA,SYSTEM,NORMAL
65,WH_E_FG,MAT_FG_1006,ISS,20250115,0,REF00065,EA,SYSTEM,NORMAL
66,WH_E_FG,MAT_FG_1006,ADJ,20250115,2,REF00066,EA,SYSTEM,NORMAL
67,WH_E_FG,MAT_RM_2001,RCV,20250115,32,REF00067,EA,SYSTEM,NORMAL
68,WH_E_FG,MAT_RM_2001,ISS,20250115,-32,REF00068,EA,SYSTEM,NORMAL
69,WH_E_FG,MAT_RM_2001,ADJ,20250115,2,REF00069,EA,SYSTEM,NORMAL
70,WH_E_FG,MAT_RM_2002,RCV,20250115,34,REF00070,EA,SYSTEM,NORMAL
71,WH_E_FG,MAT_RM_2002,ISS,20250115,-34,REF00071,EA,SYSTEM,NORMAL
72,WH_E_FG,MAT_RM_2002,ADJ,20250115,2,REF00072,EA,SYSTEM,NORMAL
73,WH_E_FG,MAT_RM_2003,RCV,20250115,36,REF00073,EA,SYSTEM,NORMAL
74,WH_E_FG,MAT_RM_2003,ISS,20250115,-36,REF00074,EA,SYSTEM,NORMAL
75,WH_E_FG,MAT_RM_2003,ADJ,20250115,2,REF00075,EA,SYSTEM,NORMAL
76,WH_E_FG,MAT_RM_2004,RCV,20250115,38,REF00076,EA,SYSTEM,NORMAL
77,WH_E_FG,MAT_RM_2004,ISS,20250115,-38,REF00077,EA,SYSTEM,NORMAL
78,WH_E_FG,MAT_RM_2004,ADJ,20250115,2,REF00078,EA,SYSTEM,NORMAL
79,WH_E_FG,MAT_RM_2005,RCV,20250115,40,REF00079,EA,SYSTEM,NORMAL
80,WH_E_FG,MAT_RM_2005,ISS,20250115,-40,REF00080,EA,SYSTEM,NORMAL
81,WH_E_FG,MAT_RM_2005,ADJ,20250115,2,REF00081,EA,SYSTEM,NORMAL
82,WH_E_FG,MAT_RM_2006,RCV,20250115,42,REF00082,EA,SYSTEM,NORMAL
83,WH_E_FG,MAT_RM_2006,ISS,20250115,-42,REF00083,EA,SYSTEM,NORMAL
84,WH_E_FG,MAT_RM_2006,ADJ,20250115,2,REF00084,EA,SYSTEM,NORMAL
85,WH_E_FG,MAT_RM_2007,RCV,20250115,44,REF00085,EA,SYSTEM,NORMAL
86,WH_E_FG,MAT_RM_2007,ISS,20250115,-44,REF00086,EA,SYSTEM,NORMAL
87,WH_E_FG,MAT_RM_2007,ADJ,20250115,2,REF00087,EA,SYSTEM,NORMAL
88,WH_E_FG,MAT_RM_2008,RCV,20250115,46,REF00088,EA,SYSTEM,NORMAL
89,WH_E_FG,MAT_RM_2008,ISS,20250115,-46,REF00089,EA,SYSTEM,NORMAL
90,WH_E_FG,MAT_RM_2008,ADJ,20250115,2,REF00090,EA,SYSTEM,NORMAL
91,WH_E_FG,MAT_RM_2009,RCV,20250115,48,REF00091,EA,SYSTEM,NORMAL
92,WH_E_FG,MAT_RM_2009,ISS,20250115,-48,REF00092,EA,SYSTEM,NORMAL
93,WH_E_FG,MAT_RM_2009,ADJ,20250115,2,REF00093,EA,SYSTEM,NORMAL
94,WH_E_FG,MAT_RM_2010,RCV,20250115,50,REF00094,EA,SYSTEM,NORMAL
95,WH_E_FG,MAT_RM_2010,ISS,20250115,-50,REF00095,EA,SYSTEM,NORMAL
96,WH_E_FG,MAT_RM_2010,ADJ,20250115,2,REF00096,EA,SYSTEM,NORMAL
97,WH_S_RM,MAT_FG_1001,RCV,20250115,20,REF00097,EA,SYSTEM,NORMAL
98,WH_S_RM,MAT_FG_1001,ISS,20250115,0,REF00098,EA,SYSTEM,NORMAL
99,WH_S_RM,MAT_FG_1001,ADJ,20250115,2,REF00099,EA,SYSTEM,NORMAL
100,WH_S_RM,MAT_FG_1002,RCV,20250115,22,REF00100,EA,SYSTEM,NORMAL
101,WH_S_RM,MAT_FG_1002,ISS,20250115,0,REF00101,EA,SYSTEM,NORMAL
102,WH_S_RM,MAT_FG_1002,ADJ,20250115,2,REF00102,EA,SYSTEM,NORMAL
103,WH_S_RM,MAT_FG_1003,RCV,20250115,24,REF00103,EA,SYSTEM,NORMAL
104,WH_S_RM,MAT_FG_1003,ISS,20250115,0,REF00104,EA,SYSTEM,NORMAL
105,WH_S_RM,MAT_FG_1003,ADJ,20250115,2,REF00105,EA,SYSTEM,NORMAL
106,WH_S_RM,MAT_FG_1004,RCV,20250115,26,REF00106,EA,SYSTEM,NORMAL
107,WH_S_RM,MAT_FG_1004,ISS,20250115,0,REF00107,EA,SYSTEM,NORMAL
108,WH_S_RM,MAT_FG_1004,ADJ,20250115,2,REF00108,EA,SYSTEM,NORMAL
109,WH_S_RM,MAT_FG_1005,RCV,20250115,28,REF00109,EA,SYSTEM,NORMAL
110,WH_S_RM,MAT_FG_1005,ISS,20250115,0,REF00110,EA,SYSTEM,NORMAL
111,WH_S_RM,MAT_FG_1005,ADJ,20250115,2,REF00111,EA,SYSTEM,NORMAL
112,WH_S_RM,MAT_FG_1006,RCV,20250115,30,REF00112,EA,SYSTEM,NORMAL
113,WH_S_RM,MAT_FG_1006,ISS,20250115,0,REF00113,EA,SYSTEM,NORMAL
114,WH_S_RM,MAT_FG_1006,ADJ,20250115,2,REF00114,EA,SYSTEM,NORMAL
115,WH_S_RM,MAT_RM_2001,RCV,20250115,32,REF00115,EA,SYSTEM,NORMAL
116,WH_S_RM,MAT_RM_2001,ISS,20250115,-32,REF00116,EA,SYSTEM,NORMAL
117,WH_S_RM,MAT_RM_2001,ADJ,20250115,2,REF00117,EA,SYSTEM,NORMAL
118,WH_S_RM,MAT_RM_2002,RCV,20250115,34,REF00118,EA,SYSTEM,NORMAL
119,WH_S_RM,MAT_RM_2002,ISS,20250115,-34,REF00119,EA,SYSTEM,NORMAL
120,WH_S_RM,MAT_RM_2002,ADJ,20250115,2,REF00120,EA,SYSTEM,NORMAL
121,WH_S_RM,MAT_RM_2003,RCV,20250115,36,REF00121,EA,SYSTEM,NORMAL
122,WH_S_RM,MAT_RM_2003,ISS,20250115,-36,REF00122,EA,SYSTEM,NORMAL
123,WH_S_RM,MAT_RM_2003,ADJ,20250115,2,REF00123,EA,SYSTEM,NORMAL
124,WH_S_RM,MAT_RM_2004,RCV,20250115,38,REF00124,EA,SYSTEM,NORMAL
125,WH_S_RM,MAT_RM_2004,ISS,20250115,-38,REF00125,EA,SYSTEM,NORMAL
126,WH_S_RM,MAT_RM_2004,ADJ,20250115,2,REF00126,EA,SYSTEM,NORMAL
127,WH_S_RM,MAT_RM_2005,RCV,20250115,40,REF00127,EA,SYSTEM,NORMAL
128,WH_S_RM,MAT_RM_2005,ISS,20250115,-40,REF00128,EA,SYSTEM,NORMAL
129,WH_S_RM,MAT_RM_2005,ADJ,20250115,2,REF00129,EA,SYSTEM,NORMAL
130,WH_S_RM,MAT_RM_2006,RCV,20250115,42,REF00130,EA,SYSTEM,NORMAL
131,WH_S_RM,MAT_RM_2006,ISS,20250115,-42,REF00131,EA,SYSTEM,NORMAL
132,WH_S_RM,MAT_RM_2006,ADJ,20250115,2,REF00132,EA,SYSTEM,NORMAL
133,WH_S_RM,MAT_RM_2007,RCV,20250115,44,REF00133,EA,SYSTEM,NORMAL
134,WH_S_RM,MAT_RM_2007,ISS,20250115,-44,REF00134,EA,SYSTEM,NORMAL
135,WH_S_RM,MAT_RM_2007,ADJ,20250115,2,REF00135,EA,SYSTEM,NORMAL
136,WH_S_RM,MAT_RM_2008,RCV,20250115,46,REF00136,EA,SYSTEM,NORMAL
137,WH_S_RM,MAT_RM_2008,ISS,20250115,-46,REF00137,EA,SYSTEM,NORMAL
138,WH_S_RM,MAT_RM_2008,ADJ,20250115,2,REF00138,EA,SYSTEM,NORMAL
139,WH_S_RM,MAT_RM_2009,RCV,20250115,48,REF00139,EA,SYSTEM,NORMAL
140,WH_S_RM,MAT_RM_2009,ISS,20250115,-48,REF00140,EA,SYSTEM,NORMAL
141,WH_S_RM,MAT_RM_2009,ADJ,20250115,2,REF00141,EA,SYSTEM,NORMAL
142,WH_S_RM,MAT_RM_2010,RCV,20250115,50,REF00142,EA,SYSTEM,NORMAL
143,WH_S_RM,MAT_RM_2010,ISS,20250115,-50,REF00143,EA,SYSTEM,NORMAL
144,WH_S_RM,MAT_RM_2010,ADJ,20250115,2,REF00144,EA,SYSTEM,NORMAL
145,WH_S_FG,MAT_FG_1001,RCV,20250115,20,REF00145,EA,SYSTEM,NORMAL
146,WH_S_FG,MAT_FG_1001,ISS,20250115,0,REF00146,EA,SYSTEM,NORMAL
147,WH_S_FG,MAT_FG_1001,ADJ,20250115,2,REF00147,EA,SYSTEM,NORMAL
148,WH_S_FG,MAT_FG_1002,RCV,20250115,22,REF00148,EA,SYSTEM,NORMAL
149,WH_S_FG,MAT_FG_1002,ISS,20250115,0,REF00149,EA,SYSTEM,NORMAL
150,WH_S_FG,MAT_FG_1002,ADJ,20250115,2,REF00150,EA,SYSTEM,NORMAL
151,WH_S_FG,MAT_FG_1003,RCV,20250115,24,REF00151,EA,SYSTEM,NORMAL
152,WH_S_FG,MAT_FG_1003,ISS,20250115,0,REF00152,EA,SYSTEM,NORMAL
153,WH_S_FG,MAT_FG_1003,ADJ,20250115,2,REF00153,EA,SYSTEM,NORMAL
154,WH_S_FG,MAT_FG_1004,RCV,20250115,26,REF00154,EA,SYSTEM,NORMAL
155,WH_S_FG,MAT_FG_1004,ISS,20250115,0,REF00155,EA,SYSTEM,NORMAL
156,WH_S_FG,MAT_FG_1004,ADJ,20250115,2,REF00156,EA,SYSTEM,NORMAL
157,WH_S_FG,MAT_FG_1005,RCV,20250115,28,REF00157,EA,SYSTEM,NORMAL
158,WH_S_FG,MAT_FG_1005,ISS,20250115,0,REF00158,EA,SYSTEM,NORMAL
159,WH_S_FG,MAT_FG_1005,ADJ,20250115,2,REF00159,EA,SYSTEM,NORMAL
160,WH_S_FG,MAT_FG_1006,RCV,20250115,30,REF00160,EA,SYSTEM,NORMAL
161,WH_S_FG,MAT_FG_1006,ISS,20250115,0,REF00161,EA,SYSTEM,NORMAL
162,WH_S_FG,MAT_FG_1006,ADJ,20250115,2,REF00162,EA,SYSTEM,NORMAL
163,WH_S_FG,MAT_RM_2001,RCV,20250115,32,REF00163,EA,SYSTEM,NORMAL
164,WH_S_FG,MAT_RM_2001,ISS,20250115,-32,REF00164,EA,SYSTEM,NORMAL
165,WH_S_FG,MAT_RM_2001,ADJ,20250115,2,REF00165,EA,SYSTEM,NORMAL
166,WH_S_FG,MAT_RM_2002,RCV,20250115,34,REF00166,EA,SYSTEM,NORMAL
167,WH_S_FG,MAT_RM_2002,ISS,20250115,-34,REF00167,EA,SYSTEM,NORMAL
168,WH_S_FG,MAT_RM_2002,ADJ,20250115,2,REF00168,EA,SYSTEM,NORMAL
169,WH_S_FG,MAT_RM_2003,RCV,20250115,36,REF00169,EA,SYSTEM,NORMAL
170,WH_S_FG,MAT_RM_2003,ISS,20250115,-36,REF00170,EA,SYSTEM,NORMAL
171,WH_S_FG,MAT_RM_2003,ADJ,20250115,2,REF00171,EA,SYSTEM,NORMAL
172,WH_S_FG,MAT_RM_2004,RCV,20250115,38,REF00172,EA,SYSTEM,NORMAL
173,WH_S_FG,MAT_RM_2004,ISS,20250115,-38,REF00173,EA,SYSTEM,NORMAL
174,WH_S_FG,MAT_RM_2004,ADJ,20250115,2,REF00174,EA,SYSTEM,NORMAL
175,WH_S_FG,MAT_RM_2005,RCV,20250115,40,REF00175,EA,SYSTEM,NORMAL
176,WH_S_FG,MAT_RM_2005,ISS,20250115,-40,REF00176,EA,SYSTEM,NORMAL
177,WH_S_FG,MAT_RM_2005,ADJ,20250115,2,REF00177,EA,SYSTEM,NORMAL
178,WH_S_FG,MAT_RM_2006,RCV,20250115,42,REF00178,EA,SYSTEM,NORMAL
179,WH_S_FG,MAT_RM_2006,ISS,20250115,-42,REF00179,EA,SYSTEM,NORMAL
180,WH_S_FG,MAT_RM_2006,ADJ,20250115,2,REF00180,EA,SYSTEM,NORMAL
181,WH_S_FG,MAT_RM_2007,RCV,20250115,44,REF00181,EA,SYSTEM,NORMAL
182,WH_S_FG,MAT_RM_2007,ISS,20250115,-44,REF00182,EA,SYSTEM,NORMAL
183,WH_S_FG,MAT_RM_2007,ADJ,20250115,2,REF00183,EA,SYSTEM,NORMAL
184,WH_S_FG,MAT_RM_2008,RCV,20250115,46,REF00184,EA,SYSTEM,NORMAL
185,WH_S_FG,MAT_RM_2008,ISS,20250115,-46,REF00185,EA,SYSTEM,NORMAL
186,WH_S_FG,MAT_RM_2008,ADJ,20250115,2,REF00186,EA,SYSTEM,NORMAL
187,WH_S_FG,MAT_RM_2009,RCV,20250115,48,REF00187,EA,SYSTEM,NORMAL
188,WH_S_FG,MAT_RM_2009,ISS,20250115,-48,REF00188,EA,SYSTEM,NORMAL
189,WH_S_FG,MAT_RM_2009,ADJ,20250115,2,REF00189,EA,SYSTEM,NORMAL
190,WH_S_FG,MAT_RM_2010,RCV,20250115,50,REF00190,EA,SYSTEM,NORMAL
191,WH_S_FG,MAT_RM_2010,ISS,20250115,-50,REF00191,EA,SYSTEM,NORMAL
192,WH_S_FG,MAT_RM_2010,ADJ,20250115,2,REF00192,EA,SYSTEM,NORMAL
193,WH_E_RM,MAT_FG_1001,RCV,20250215,20,REF00193,EA,SYSTEM,NORMAL
194,WH_E_RM,MAT_FG_1001,ISS,20250215,0,REF00194,EA,SYSTEM,NORMAL
195,WH_E_RM,MAT_FG_1001,ADJ,20250215,2,REF00195,EA,SYSTEM,NORMAL
196,WH_E_RM,MAT_FG_1002,RCV,20250215,22,REF00196,EA,SYSTEM,NORMAL
197,WH_E_RM,MAT_FG_1002,ISS,20250215,0,REF00197,EA,SYSTEM,NORMAL
198,WH_E_RM,MAT_FG_1002,ADJ,20250215,2,REF00198,EA,SYSTEM,NORMAL
199,WH_E_RM,MAT_FG_1003,RCV,20250215,24,REF00199,EA,SYSTEM,NORMAL
200,WH_E_RM,MAT_FG_1003,ISS,20250215,0,REF00200,EA,SYSTEM,NORMAL
201,WH_E_RM,MAT_FG_1003,ADJ,20250215,2,REF00201,EA,SYSTEM,NORMAL
202,WH_E_RM,MAT_FG_1004,RCV,20250215,26,REF00202,EA,SYSTEM,NORMAL
203,WH_E_RM,MAT_FG_1004,ISS,20250215,0,REF00203,EA,SYSTEM,NORMAL
204,WH_E_RM,MAT_FG_1004,ADJ,20250215,2,REF00204,EA,SYSTEM,NORMAL
205,WH_E_RM,MAT_FG_1005,RCV,20250215,28,REF00205,EA,SYSTEM,NORMAL
206,WH_E_RM,MAT_FG_1005,ISS,20250215,0,REF00206,EA,SYSTEM,NORMAL
207,WH_E_RM,MAT_FG_1005,ADJ,20250215,2,REF00207,EA,SYSTEM,NORMAL
208,WH_E_RM,MAT_FG_1006,RCV,20250215,30,REF00208,EA,SYSTEM,NORMAL
209,WH_E_RM,MAT_FG_1006,ISS,20250215,0,REF00209,EA,SYSTEM,NORMAL
210,WH_E_RM,MAT_FG_1006,ADJ,20250215,2,REF00210,EA,SYSTEM,NORMAL
211,WH_E_RM,MAT_RM_2001,RCV,20250215,32,REF00211,EA,SYSTEM,NORMAL
212,WH_E_RM,MAT_RM_2001,ISS,20250215,-32,REF00212,EA,SYSTEM,NORMAL
213,WH_E_RM,MAT_RM_2001,ADJ,20250215,2,REF00213,EA,SYSTEM,NORMAL
214,WH_E_RM,MAT_RM_2002,RCV,20250215,34,REF00214,EA,SYSTEM,NORMAL
215,WH_E_RM,MAT_RM_2002,ISS,20250215,-34,REF00215,EA,SYSTEM,NORMAL
216,WH_E_RM,MAT_RM_2002,ADJ,20250215,2,REF00216,EA,SYSTEM,NORMAL
217,WH_E_RM,MAT_RM_2003,RCV,20250215,36,REF00217,EA,SYSTEM,NORMAL
218,WH_E_RM,MAT_RM_2003,ISS,20250215,-36,REF00218,EA,SYSTEM,NORMAL
219,WH_E_RM,MAT_RM_2003,ADJ,20250215,2,REF00219,EA,SYSTEM,NORMAL
220,WH_E_RM,MAT_RM_2004,RCV,20250215,38,REF00220,EA,SYSTEM,NORMAL
221,WH_E_RM,MAT_RM_2004,ISS,20250215,-38,REF00221,EA,SYSTEM,NORMAL
222,WH_E_RM,MAT_RM_2004,ADJ,20250215,2,REF00222,EA,SYSTEM,NORMAL
223,WH_E_RM,MAT_RM_2005,RCV,20250215,40,REF00223,EA,SYSTEM,NORMAL
224,WH_E_RM,MAT_RM_2005,ISS,20250215,-40,REF00224,EA,SYSTEM,NORMAL
225,WH_E_RM,MAT_RM_2005,ADJ,20250215,2,REF00225,EA,SYSTEM,NORMAL
226,WH_E_RM,MAT_RM_2006,RCV,20250215,42,REF00226,EA,SYSTEM,NORMAL
227,WH_E_RM,MAT_RM_2006,ISS,20250215,-42,REF00227,EA,SYSTEM,NORMAL
228,WH_E_RM,MAT_RM_2006,ADJ,20250215,2,REF00228,EA,SYSTEM,NORMAL
229,WH_E_RM,MAT_RM_2007,RCV,20250215,44,REF00229,EA,SYSTEM,NORMAL
230,WH_E_RM,MAT_RM_2007,ISS,20250215,-44,REF00230,EA,SYSTEM,NORMAL
231,WH_E_RM,MAT_RM_2007,ADJ,20250215,2,REF00231,EA,SYSTEM,NORMAL
232,WH_E_RM,MAT_RM_2008,RCV,20250215,46,REF00232,EA,SYSTEM,NORMAL
233,WH_E_RM,MAT_RM_2008,ISS,20250215,-46,REF00233,EA,SYSTEM,NORMAL
234,WH_E_RM,MAT_RM_2008,ADJ,20250215,2,REF00234,EA,SYSTEM,NORMAL
235,WH_E_RM,MAT_RM_2009,RCV,20250215,48,REF00235,EA,SYSTEM,NORMAL
236,WH_E_RM,MAT_RM_2009,ISS,20250215,-48,REF00236,EA,SYSTEM,NORMAL
237,WH_E_RM,MAT_RM_2009,ADJ,20250215,2,REF00237,EA,SYSTEM,NORMAL
238,WH_E_RM,MAT_RM_2010,RCV,20250215,50,REF00238,EA,SYSTEM,NORMAL
239,WH_E_RM,MAT_RM_2010,ISS,20250215,-50,REF00239,EA,SYSTEM,NORMAL
240,WH_E_RM,MAT_RM_2010,ADJ,20250215,2,REF00240,EA,SYSTEM,NORMAL
241,WH_E_FG,MAT_FG_1001,RCV,20250215,20,REF00241,EA,SYSTEM,NORMAL
242,WH_E_FG,MAT_FG_1001,ISS,20250215,0,REF00242,EA,SYSTEM,NORMAL
243,WH_E_FG,MAT_FG_1001,ADJ,20250215,2,REF00243,EA,SYSTEM,NORMAL
244,WH_E_FG,MAT_FG_1002,RCV,20250215,22,REF00244,EA,SYSTEM,NORMAL
245,WH_E_FG,MAT_FG_1002,ISS,20250215,0,REF00245,EA,SYSTEM,NORMAL
246,WH_E_FG,MAT_FG_1002,ADJ,20250215,2,REF00246,EA,SYSTEM,NORMAL
247,WH_E_FG,MAT_FG_1003,RCV,20250215,24,REF00247,EA,SYSTEM,NORMAL
248,WH_E_FG,MAT_FG_1003,ISS,20250215,0,REF00248,EA,SYSTEM,NORMAL
249,WH_E_FG,MAT_FG_1003,ADJ,20250215,2,REF00249,EA,SYSTEM,NORMAL
250,WH_E_FG,MAT_FG_1004,RCV,20250215,26,REF00250,EA,SYSTEM,NORMAL
251,WH_E_FG,MAT_FG_1004,ISS,20250215,0,REF00251,EA,SYSTEM,NORMAL
252,WH_E_FG,MAT_FG_1004,ADJ,20250215,2,REF00252,EA,SYSTEM,NORMAL
253,WH_E_FG,MAT_FG_1005,RCV,20250215,28,REF00253,EA,SYSTEM,NORMAL
254,WH_E_FG,MAT_FG_1005,ISS,20250215,0,REF00254,EA,SYSTEM,NORMAL
255,WH_E_FG,MAT_FG_1005,ADJ,20250215,2,REF00255,EA,SYSTEM,NORMAL
256,WH_E_FG,MAT_FG_1006,RCV,20250215,30,REF00256,EA,SYSTEM,NORMAL
257,WH_E_FG,MAT_FG_1006,ISS,20250215,0,REF00257,EA,SYSTEM,NORMAL
258,WH_E_FG,MAT_FG_1006,ADJ,20250215,2,REF00258,EA,SYSTEM,NORMAL
259,WH_E_FG,MAT_RM_2001,RCV,20250215,32,REF00259,EA,SYSTEM,NORMAL
260,WH_E_FG,MAT_RM_2001,ISS,20250215,-32,REF00260,EA,SYSTEM,NORMAL
261,WH_E_FG,MAT_RM_2001,ADJ,20250215,2,REF00261,EA,SYSTEM,NORMAL
262,WH_E_FG,MAT_RM_2002,RCV,20250215,34,REF00262,EA,SYSTEM,NORMAL
263,WH_E_FG,MAT_RM_2002,ISS,20250215,-34,REF00263,EA,SYSTEM,NORMAL
264,WH_E_FG,MAT_RM_2002,ADJ,20250215,2,REF00264,EA,SYSTEM,NORMAL
265,WH_E_FG,MAT_RM_2003,RCV,20250215,36,REF00265,EA,SYSTEM,NORMAL
266,WH_E_FG,MAT_RM_2003,ISS,20250215,-36,REF00266,EA,SYSTEM,NORMAL
267,WH_E_FG,MAT_RM_2003,ADJ,20250215,2,REF00267,EA,SYSTEM,NORMAL
268,WH_E_FG,MAT_RM_2004,RCV,20250215,38,REF00268,EA,SYSTEM,NORMAL
269,WH_E_FG,MAT_RM_2004,ISS,20250215,-38,REF00269,EA,SYSTEM,NORMAL
