case_id,customer_id,sales_order_id,material_id,plant_id,open_dt_key,close_dt_key,case_type_cd,case_status_cd,severity_cd,resp_team_cd,issue_channel_cd,root_cause_cd,claim_amt,replace_qty,return_qty,onsite_visit_fg,reopen_fg,sat_score,first_resp_hour,close_sla_hit_fg,final_action_cd
CASE000013,CUS_007,SO0013,MAT_FG_1002,PLT_SOUTH,20250112,20250112,TS,CLOSED,M,CS,PHONE,USAGE,480.0,1,1,0,1,4.2,6.0,1,REPLACE
CASE000014,CUS_007,SO0014,MAT_FG_1003,PLT_EAST,20250113,20250113,TS,CLOSED,H,CS,PHONE,USAGE,600.0,2,0,0,0,4.2,6.0,1,REPLACE
CASE000015,CUS_008,SO0015,MAT_FG_1004,PLT_EAST,20250113,,RMA,OPEN,M,CS,PHONE,USAGE,720.0,0,1,0,0,4.2,6.0,1,REPLACE
CASE000016,CUS_008,SO0016,MAT_FG_1005,PLT_SOUTH,20250114,20250114,TS,CLOSED,M,CS,PHONE,USAGE,840.0,1,0,0,0,4.2,6.0,1,REPLACE
CASE000017,CUS_001,SO0017,MAT_FG_1006,PLT_SOUTH,20250206,20250206,TS,CLOSED,M,CS,PHONE,USAGE,960.0,2,1,0,0,4.2,6.0,1,REPLACE
CASE000018,CUS_001,SO0018,MAT_FG_1001,PLT_EAST,20250207,20250207,RMA,CLOSED,M,CS,PHONE,USAGE,0.0,0,0,0,0,4.2,6.0,1,REPLACE
CASE000019,CUS_002,SO0019,MAT_FG_1002,PLT_EAST,20250207,20250207,TS,CLOSED,M,CS,PHONE,USAGE,120.0,1,1,0,0,4.2,6.0,1,REPLACE
CASE000020,CUS_002,SO0020,MAT_FG_1003,PLT_SOUTH,20250208,,TS,OPEN,M,CS,PHONE,USAGE,240.0,2,0,0,0,4.2,6.0,1,REPLACE
CASE000021,CUS_003,SO0021,MAT_FG_1004,PLT_SOUTH,20250208,20250208,RMA,CLOSED,H,CS,PHONE,USAGE,360.0,0,1,0,0,4.2,6.0,1,REPLACE
CASE000022,CUS_003,SO0022,MAT_FG_1005,PLT_EAST,20250209,20250209,TS,CLOSED,M,CS,PHONE,USAGE,480.0,1,0,1,0,4.2,6.0,1,REPLACE
CASE000023,CUS_004,SO0023,MAT_FG_1006,PLT_EAST,20250209,20250209,TS,CLOSED,M,CS,PHONE,USAGE,600.0,2,1,0,0,4.2,6.0,1,REPLACE
CASE000024,CUS_004,SO0024,MAT_FG_1001,PLT_SOUTH,20250210,20250210,RMA,CLOSED,M,CS,PHONE,USAGE,720.0,0,0,0,0,4.2,6.0,1,REPLACE
CASE000025,CUS_005,SO0025,MAT_FG_1002,PLT_SOUTH,20250210,,TS,OPEN,M,CS,PHONE,USAGE,840.0,1,1,0,0,4.2,6.0,1,REPLACE
CASE000026,CUS_005,SO0026,MAT_FG_1003,PLT_EAST,20250211,20250211,TS,CLOSED,M,CS,PHONE,USAGE,960.0,2,0,0,1,4.2,6.0,1,REPLACE
CASE000027,CUS_006,SO0027,MAT_FG_1004,PLT_EAST,20250211,20250211,RMA,CLOSED,M,CS,PHONE,USAGE,0.0,0,1,0,0,4.2,6.0,1,REPLACE
CASE000028,CUS_006,SO0028,MAT_FG_1005,PLT_SOUTH,20250212,20250212,TS,CLOSED,H,CS,PHONE,USAGE,120.0,1,0,0,0,4.2,6.0,1,REPLACE
CASE000029,CUS_007,SO0029,MAT_FG_1006,PLT_SOUTH,20250212,20250212,TS,CLOSED,M,CS,PHONE,USAGE,240.0,2,1,0,0,4.2,6.0,1,REPLACE
CASE000030,CUS_007,SO0030,MAT_FG_1001,PLT_EAST,20250213,,RMA,OPEN,M,CS,PHONE,USAGE,360.0,0,0,0,0,4.2,6.0,1,REPLACE
CASE000031,CUS_008,SO0031,MAT_FG_1002,PLT_EAST,20250213,20250213,TS,CLOSED,M,CS,PHONE,USAGE,480.0,1,1,0,0,4.2,6.0,1,REPLACE
CASE000032,CUS_008,SO0032,MAT_FG_1003,PLT_SOUTH,20250214,20250214,TS,CLOSED,M,CS,PHONE,USAGE,600.0,2,0,0,0,4.2,6.0,1,REPLACE
CASE000033,CUS_001,SO0033,MAT_FG_1004,PLT_SOUTH,20250306,20250306,RMA,CLOSED,M,CS,PHONE,USAGE,720.0,0,1,1,0,4.2,6.0,1,REPLACE
CASE000034,CUS_001,SO0034,MAT_FG_1005,PLT_EAST,20250307,20250307,TS,CLOSED,M,CS,PHONE,USAGE,840.0,1,0,0,0,4.2,6.0,1,REPLACE
CASE000035,CUS_002,SO0035,MAT_FG_1006,PLT_EAST,20250307,,TS,OPEN,H,CS,PHONE,USAGE,960.0,2,1,0,0,4.2,6.0,1,REPLACE
CASE000036,CUS_002,SO0036,MAT_FG_1001,PLT_SOUTH,20250308,20250308,RMA,CLOSED,M,CS,PHONE,USAGE,0.0,0,0,0,0,4.2,6.0,1,REPLACE
CASE000037,CUS_003,SO0037,MAT_FG_1002,PLT_SOUTH,20250308,20250308,TS,CLOSED,M,CS,PHONE,USAGE,120.0,1,1,0,0,4.2,6.0,1,REPLACE
CASE000038,CUS_003,SO0038,MAT_FG_1003,PLT_EAST,20250309,20250309,TS,CLOSED,M,CS,PHONE,USAGE,240.0,2,0,0,0,4.2,6.0,1,REPLACE
CASE000039,CUS_004,SO0039,MAT_FG_1004,PLT_EAST,20250309,20250309,RMA,CLOSED,M,CS,PHONE,USAGE,360.0,0,1,0,1,4.2,6.0,1,REPLACE
CASE000040,CUS_004,SO0040,MAT_FG_1005,PLT_SOUTH,20250310,,TS,OPEN,M,CS,PHONE,USAGE,480.0,1,0,0,0,4.2,6.0,1,REPLACE
CASE000041,CUS_005,SO0041,MAT_FG_1006,PLT_SOUTH,20250310,20250310,TS,CLOSED,M,CS,PHONE,USAGE,600.0,2,1,0,0,4.2,6.0,1,REPLACE
CASE000042,CUS_005,SO0042,MAT_FG_1001,PLT_EAST,20250311,20250311,RMA,CLOSED,H,CS,PHONE,USAGE,720.0,0,0,0,0,4.2,6.0,1,REPLACE
CASE000043,CUS_006,SO0043,MAT_FG_1002,PLT_EAST,20250311,20250311,TS,CLOSED,M,CS,PHONE,USAGE,840.0,1,1,0,0,4.2,6.0,1,REPLACE
CASE000044,CUS_006,SO0044,MAT_FG_1003,PLT_SOUTH,20250312,20250312,TS,CLOSED,M,CS,PHONE,USAGE,960.0,2,0,1,0,4.2,6.0,1,REPLACE
CASE000045,CUS_007,SO0045,MAT_FG_1004,PLT_SOUTH,20250312,,RMA,OPEN,M,CS,PHONE,USAGE,0.0,0,1,0,0,4.2,6.0,1,REPLACE
CASE000046,CUS_007,SO0046,MAT_FG_1005,PLT_EAST,20250313,20250313,TS,CLOSED,M,CS,PHONE,USAGE,120.0,1,0,0,0,4.2,6.0,1,REPLACE
CASE000047,CUS_008,SO0047,MAT_FG_1006,PLT_EAST,20250313,20250313,TS,CLOSED,M,CS,PHONE,USAGE,240.0,2,1,0,0,4.2,6.0,1,REPLACE
CASE000048,CUS_008,SO0048,MAT_FG_1001,PLT_SOUTH,20250314,20250314,RMA,CLOSED,M,CS,PHONE,USAGE,360.0,0,0,0,0,4.2,6.0,1,REPLACE
CASE000049,CUS_001,SO0049,MAT_FG_1002,PLT_SOUTH,20250406,20250406,TS,CLOSED,H,CS,PHONE,USAGE,480.0,1,1,0,0,4.2,6.0,1,REPLACE
CASE000050,CUS_001,SO0050,MAT_FG_1003,PLT_EAST,20250407,,TS,OPEN,M,CS,PHONE,USAGE,600.0,2,0,0,0,4.2,6.0,1,REPLACE
CASE000051,CUS_002,SO0051,MAT_FG_1004,PLT_EAST,20250407,20250407,RMA,CLOSED,M,CS,PHONE,USAGE,720.0,0,1,0,0,4.2,6.0,1,REPLACE
CASE000052,CUS_002,SO0052,MAT_FG_1005,PLT_SOUTH,20250408,20250408,TS,CLOSED,M,CS,PHONE,USAGE,840.0,1,0,0,1,4.2,6.0,1,REPLACE
CASE000053,CUS_003,SO0053,MAT_FG_1006,PLT_SOUTH,20250408,20250408,TS,CLOSED,M,CS,PHONE,USAGE,960.0,2,1,0,0,4.2,6.0,1,REPLACE
CASE000054,CUS_003,SO0054,MAT_FG_1001,PLT_EAST,20250409,20250409,RMA,CLOSED,M,CS,PHONE,USAGE,0.0,0,0,0,0,4.2,6.0,1,REPLACE
CASE000055,CUS_004,SO0055,MAT_FG_1002,PLT_EAST,20250409,,TS,OPEN,M,CS,PHONE,USAGE,120.0,1,1,1,0,4.2,6.0,1,REPLACE
CASE000056,CUS_004,SO0056,MAT_FG_1003,PLT_SOUTH,20250410,20250410,TS,CLOSED,H,CS,PHONE,USAGE,240.0,2,0,0,0,4.2,6.0,1,REPLACE
CASE000057,CUS_005,SO0057,MAT_FG_1004,PLT_SOUTH,20250410,20250410,RMA,CLOSED,M,CS,PHONE,USAGE,360.0,0,1,0,0,4.2,6.0,1,REPLACE
CASE000058,CUS_005,SO0058,MAT_FG_1005,PLT_EAST,20250411,20250411,TS,CLOSED,M,CS,PHONE,USAGE,480.0,1,0,0,0,4.2,6.0,1,REPLACE
CASE000059,CUS_006,SO0059,MAT_FG_1006,PLT_EAST,20250411,20250411,TS,CLOSED,M,CS,PHONE,USAGE,600.0,2,1,0,0,4.2,6.0,1,REPLACE
CASE000060,CUS_006,SO0060,MAT_FG_1001,PLT_SOUTH,20250412,,RMA,OPEN,M,CS,PHONE,USAGE,720.0,0,0,0,0,4.2,6.0,1,REPLACE
CASE000061,CUS_007,SO0061,MAT_FG_1002,PLT_SOUTH,20250412,20250412,TS,CLOSED,M,CS,PHONE,USAGE,840.0,1,1,0,0,4.2,6.0,1,REPLACE
CASE000062,CUS_007,SO0062,MAT_FG_1003,PLT_EAST,20250413,20250413,TS,CLOSED,M,CS,PHONE,USAGE,960.0,2,0,0,0,4.2,6.0,1,REPLACE
CASE000063,CUS_008,SO0063,MAT_FG_1004,PLT_EAST,20250413,20250413,RMA,CLOSED,H,CS,PHONE,USAGE,0.0,0,1,0,0,4.2,6.0,1,REPLACE
CASE000064,CUS_008,SO0064,MAT_FG_1005,PLT_SOUTH,20250414,20250414,TS,CLOSED,M,CS,PHONE,USAGE,120.0,1,0,0,0,4.2,6.0,1,REPLACE
CASE000065,CUS_001,SOX010001,MAT_FG_1006,PLT_SOUTH,20240101,,TS,OPEN,M,CS,PHONE,USAGE,240.0,2,1,0,1,4.2,6.0,1,REPLACE
CASE000066,CUS_001,SOX010002,MAT_FG_1001,PLT_EAST,20240102,20240102,RMA,CLOSED,M,CS,PHONE,USAGE,360.0,0,0,1,0,4.2,6.0,1,REPLACE
CASE000067,CUS_001,SOX010003,MAT_FG_1002,PLT_SOUTH,20240103,20240103,TS,CLOSED,M,CS,PHONE,USAGE,480.0,1,1,0,0,4.2,6.0,1,REPLACE
CASE000068,CUS_001,SOX010004,MAT_FG_1003,PLT_EAST,20240104,20240104,TS,CLOSED,M,CS,PHONE,USAGE,600.0,2,0,0,0,4.2,6.0,1,REPLACE
CASE000069,CUS_001,SOX010005,MAT_FG_1004,PLT_SOUTH,20240105,20240105,RMA,CLOSED,M,CS,PHONE,USAGE,720.0,0,1,0,0,4.2,6.0,1,REPLACE
CASE000070,CUS_001,SOX010006,MAT_FG_1005,PLT_EAST,20240106,,TS,OPEN,H,CS,PHONE,USAGE,840.0,1,0,0,0,4.2,6.0,1,REPLACE
CASE000071,CUS_001,SOX010007,MAT_FG_1006,PLT_SOUTH,20240107,20240107,TS,CLOSED,M,CS,PHONE,USAGE,960.0,2,1,0,0,4.2,6.0,1,REPLACE
CASE000072,CUS_001,SOX010008,MAT_FG_1001,PLT_EAST,20240108,20240108,RMA,CLOSED,M,CS,PHONE,USAGE,0.0,0,0,0,0,4.2,6.0,1,REPLACE
CASE000073,CUS_001,SOX010009,MAT_FG_1002,PLT_SOUTH,20240109,20240109,TS,CLOSED,M,CS,PHONE,USAGE,120.0,1,1,0,0,4.2,6.0,1,REPLACE
CASE000074,CUS_001,SOX010010,MAT_FG_1003,PLT_EAST,20240110,20240110,TS,CLOSED,M,CS,PHONE,USAGE,240.0,2,0,0,0,4.2,6.0,1,REPLACE
CASE000075,CUS_001,SOX010011,MAT_FG_1004,PLT_SOUTH,20240111,,RMA,OPEN,M,CS,PHONE,USAGE,360.0,0,1,0,0,4.2,6.0,1,REPLACE
CASE000076,CUS_001,SOX010012,MAT_FG_1005,PLT_EAST,20240112,20240112,TS,CLOSED,M,CS,PHONE,USAGE,480.0,1,0,0,0,4.2,6.0,1,REPLACE
CASE000077,CUS_001,SOX010013,MAT_FG_1006,PLT_SOUTH,20240113,20240113,TS,CLOSED,H,CS,PHONE,USAGE,600.0,2,1,1,0,4.2,6.0,1,REPLACE
CASE000078,CUS_001,SOX010014,MAT_FG_1001,PLT_EAST,20240114,20240114,RMA,CLOSED,M,CS,PHONE,USAGE,720.0,0,0,0,1,4.2,6.0,1,REPLACE
CASE000079,CUS_001,SOX010015,MAT_FG_1002,PLT_SOUTH,20240115,20240115,TS,CLOSED,M,CS,PHONE,USAGE,840.0,1,1,0,0,4.2,6.0,1,REPLACE
CASE000080,CUS_001,SOX010016,MAT_FG_1003,PLT_EAST,20240116,,TS,OPEN,M,CS,PHONE,USAGE,960.0,2,0,0,0,4.2,6.0,1,REPLACE
CASE000081,CUS_001,SOX010017,MAT_FG_1004,PLT_SOUTH,20240117,20240117,RMA,CLOSED,M,CS,PHONE,USAGE,0.0,0,1,0,0,4.2,6.0,1,REPLACE
CASE000082,CUS_001,SOX010018,MAT_FG_1005,PLT_EAST,20240118,20240118,TS,CLOSED,M,CS,PHONE,USAGE,120.0,1,0,0,0,4.2,6.0,1,REPLACE
CASE000083,CUS_001,SOX010019,MAT_FG_1006,PLT_SOUTH,20240119,20240119,TS,CLOSED,M,CS,PHONE,USAGE,240.0,2,1,0,0,4.2,6.0,1,REPLACE
CASE000084,CUS_001,SOX010020,MAT_FG_1001,PLT_EAST,20240120,20240120,RMA,CLOSED,H,CS,PHONE,USAGE,360.0,0,0,0,0,4.2,6.0,1,REPLACE
CASE000085,CUS_001,SOX010021,MAT_FG_1002,PLT_SOUTH,20240121,,TS,OPEN,M,CS,PHONE,USAGE,480.0,1,1,0,0,4.2,6.0,1,REPLACE
CASE000086,CUS_001,SOX010022,MAT_FG_1003,PLT_EAST,20240122,20240122,TS,CLOSED,M,CS,PHONE,USAGE,600.0,2,0,0,0,4.2,6.0,1,REPLACE
CASE000087,CUS_001,SOX010023,MAT_FG_1004,PLT_SOUTH,20240123,20240123,RMA,CLOSED,M,CS,PHONE,USAGE,720.0,0,1,0,0,4.2,6.0,1,REPLACE
CASE000088,CUS_001,SOX010024,MAT_FG_1005,PLT_EAST,20240124,20240124,TS,CLOSED,M,CS,PHONE,USAGE,840.0,1,0,1,0,4.2,6.0,1,REPLACE
CASE000089,CUS_001,SOX010025,MAT_FG_1006,PLT_SOUTH,20240125,20240125,TS,CLOSED,M,CS,PHONE,USAGE,960.0,2,1,0,0,4.2,6.0,1,REPLACE
CASE000090,CUS_001,SOX010026,MAT_FG_1001,PLT_EAST,20240126,,RMA,OPEN,M,CS,PHONE,USAGE,0.0,0,0,0,0,4.2,6.0,1,REPLACE
CASE000091,CUS_001,SOX010027,MAT_FG_1002,PLT_SOUTH,20240127,20240127,TS,CLOSED,H,CS,PHONE,USAGE,120.0,1,1,0,1,4.2,6.0,1,REPLACE
CASE000092,CUS_001,SOX010028,MAT_FG_1003,PLT_EAST,20240128,20240128,TS,CLOSED,M,CS,PHONE,USAGE,240.0,2,0,0,0,4.2,6.0,1,REPLACE
CASE000093,CUS_001,SOX010029,MAT_FG_1004,PLT_SOUTH,20240129,20240129,RMA,CLOSED,M,CS,PHONE,USAGE,360.0,0,1,0,0,4.2,6.0,1,REPLACE
CASE000094,CUS_001,SOX010030,MAT_FG_1005,PLT_EAST,20240130,20240130,TS,CLOSED,M,CS,PHONE,USAGE,480.0,1,0,0,0,4.2,6.0,1,REPLACE
CASE000095,CUS_001,SOX010031,MAT_FG_1006,PLT_SOUTH,20240131,,TS,OPEN,M,CS,PHONE,USAGE,600.0,2,1,0,0,4.2,6.0,1,REPLACE
CASE000096,CUS_001,SOX010032,MAT_FG_1001,PLT_EAST,20240101,20240101,RMA,CLOSED,M,CS,PHONE,USAGE,720.0,0,0,0,0,4.2,6.0,1,REPLACE
CASE000097,CUS_001,SOX010033,MAT_FG_1002,PLT_SOUTH,20240102,20240102,TS,CLOSED,M,CS,PHONE,USAGE,840.0,1,1,0,0,4.2,6.0,1,REPLACE
CASE000098,CUS_001,SOX010034,MAT_FG_1003,PLT_EAST,20240103,20240103,TS,CLOSED,H,CS,PHONE,USAGE,960.0,2,0,0,0,4.2,6.0,1,REPLACE
CASE000099,CUS_001,SOX010035,MAT_FG_1004,PLT_SOUTH,20240104,20240104,RMA,CLOSED,M,CS,PHONE,USAGE,0.0,0,1,1,0,4.2,6.0,1,REPLACE
CASE000100,CUS_001,SOX010036,MAT_FG_1005,PLT_EAST,20240105,,TS,OPEN,M,CS,PHONE,USAGE,120.0,1,0,0,0,4.2,6.0,1,REPLACE
CASE000101,CUS_001,SOX010037,MAT_FG_1006,PLT_SOUTH,20240106,20240106,TS,CLOSED,M,CS,PHONE,USAGE,240.0,2,1,0,0,4.2,6.0,1,REPLACE
CASE000102,CUS_001,SOX010038,MAT_FG_1001,PLT_EAST,20240107,20240107,RMA,CLOSED,M,CS,PHONE,USAGE,360.0,0,0,0,0,4.2,6.0,1,REPLACE
CASE000103,CUS_001,SOX010039,MAT_FG_1002,PLT_SOUTH,20240108,20240108,TS,CLOSED,M,CS,PHONE,USAGE,480.0,1,1,0,0,4.2,6.0,1,REPLACE
CASE000104,CUS_001,SOX010040,MAT_FG_1003,PLT_EAST,20240109,20240109,TS,CLOSED,M,CS,PHONE,USAGE,600.0,2,0,0,1,4.2,6.0,1,REPLACE
CASE000105,CUS_001,SOX010041,MAT_FG_1004,PLT_SOUTH,20240110,,RMA,OPEN,H,CS,PHONE,USAGE,720.0,0,1,0,0,4.2,6.0,1,REPLACE
CASE000106,CUS_001,SOX010042,MAT_FG_1005,PLT_EAST,20240111,20240111,TS,CLOSED,M,CS,PHONE,USAGE,840.0,1,0,0,0,4.2,6.0,1,REPLACE
CASE000107,CUS_001,SOX010043,MAT_FG_1006,PLT_SOUTH,20240112,20240112,TS,CLOSED,M,CS,PHONE,USAGE,960.0,2,1,0,0,4.2,6.0,1,REPLACE
CASE000108,CUS_001,SOX010044,MAT_FG_1001,PLT_EAST,20240113,20240113,RMA,CLOSED,M,CS,PHONE,USAGE,0.0,0,0,0,0,4.2,6.0,1,REPLACE
CASE000109,CUS_001,SOX010045,MAT_FG_1002,PLT_SOUTH,20240114,20240114,TS,CLOSED,M,CS,PHONE,USAGE,120.0,1,1,0,0,4.2,6.0,1,REPLACE
CASE000110,CUS_001,SOX010046,MAT_FG_1003,PLT_EAST,20240115,,TS,OPEN,M,CS,PHONE,USAGE,240.0,2,0,1,0,4.2,6.0,1,REPLACE
CASE000111,CUS_001,SOX010047,MAT_FG_1004,PLT_SOUTH,20240116,20240116,RMA,CLOSED,M,CS,PHONE,USAGE,360.0,0,1,0,0,4.2,6.0,1,REPLACE
CASE000112,CUS_001,SOX010048,MAT_FG_1005,PLT_EAST,20240117,20240117,TS,CLOSED,H,CS,PHONE,USAGE,480.0,1,0,0,0,4.2,6.0,1,REPLACE
CASE000113,CUS_001,SOX010049,MAT_FG_1006,PLT_SOUTH,20240118,20240118,TS,CLOSED,M,CS,PHONE,USAGE,600.0,2,1,0,0,4.2,6.0,1,REPLACE
CASE000114,CUS_001,SOX010050,MAT_FG_1001,PLT_EAST,20240119,20240119,RMA,CLOSED,M,CS,PHONE,USAGE,720.0,0,0,0,0,4.2,6.0,1,REPLACE
CASE000115,CUS_001,SOX010051,MAT_FG_1002,PLT_SOUTH,20240120,,TS,OPEN,M,CS,PHONE,USAGE,840.0,1,1,0,0,4.2,6.0,1,REPLACE
CASE000116,CUS_001,SOX010052,MAT_FG_1003,PLT_EAST,20240121,20240121,TS,CLOSED,M,CS,PHONE,USAGE,960.0,2,0,0,0,4.2,6.0,1,REPLACE
CASE000117,CUS_001,SOX010053,MAT_FG_1004,PLT_SOUTH,20240122,20240122,RMA,CLOSED,M,CS,PHONE,USAGE,0.0,0,1,0,1,4.2,6.0,1,REPLACE
CASE000118,CUS_001,SOX010054,MAT_FG_1005,PLT_EAST,20240123,20240123,TS,CLOSED,M,CS,PHONE,USAGE,120.0,1,0,0,0,4.2,6.0,1,REPLACE
CASE000119,CUS_001,SOX010055,MAT_FG_1006,PLT_SOUTH,20240124,20240124,TS,CLOSED,H,CS,PHONE,USAGE,240.0,2,1,0,0,4.2,6.0,1,REPLACE
CASE000120,CUS_001,SOX010056,MAT_FG_1001,PLT_EAST,20240125,,RMA,OPEN,M,CS,PHONE,USAGE,360.0,0,0,0,0,4.2,6.0,1,REPLACE
CASE000121,CUS_001,SOX010057,MAT_FG_1002,PLT_SOUTH,20240126,20240126,TS,CLOSED,M,CS,PHONE,USAGE,480.0,1,1,1,0,4.2,6.0,1,REPLACE
CASE000122,CUS_001,SOX010058,MAT_FG_1003,PLT_EAST,20240127,20240127,TS,CLOSED,M,CS,PHONE,USAGE,600.0,2,0,0,0,4.2,6.0,1,REPLACE
CASE000123,CUS_001,SOX010059,MAT_FG_1004,PLT_SOUTH,20240128,20240128,RMA,CLOSED,M,CS,PHONE,USAGE,720.0,0,1,0,0,4.2,6.0,1,REPLACE
CASE000124,CUS_001,SOX010060,MAT_FG_1005,PLT_EAST,20240129,20240129,TS,CLOSED,M,CS,PHONE,USAGE,840.0,1,0,0,0,4.2,6.0,1,REPLACE
CASE000125,CUS_001,SOX010061,MAT_FG_1006,PLT_SOUTH,20240130,,TS,OPEN,M,CS,PHONE,USAGE,960.0,2,1,0,0,4.2,6.0,1,REPLACE
CASE000126,CUS_001,SOX010062,MAT_FG_1001,PLT_EAST,20240131,20240131,RMA,CLOSED,H,CS,PHONE,USAGE,0.0,0,0,0,0,4.2,6.0,1,REPLACE
CASE000127,CUS_001,SOX010063,MAT_FG_1002,PLT_SOUTH,20240101,20240101,TS,CLOSED,M,CS,PHONE,USAGE,120.0,1,1,0,0,4.2,6.0,1,REPLACE
CASE000128,CUS_001,SOX010064,MAT_FG_1003,PLT_EAST,20240102,20240102,TS,CLOSED,M,CS,PHONE,USAGE,240.0,2,0,0,0,4.2,6.0,1,REPLACE
CASE000129,CUS_001,SOX010065,MAT_FG_1004,PLT_SOUTH,20240103,20240103,RMA,CLOSED,M,CS,PHONE,USAGE,360.0,0,1,0,0,4.2,6.0,1,REPLACE
CASE000130,CUS_001,SOX010066,MAT_FG_1005,PLT_EAST,20240104,,TS,OPEN,M,CS,PHONE,USAGE,480.0,1,0,0,1,4.2,6.0,1,REPLACE
CASE000131,CUS_001,SOX010067,MAT_FG_1006,PLT_SOUTH,20240105,20240105,TS,CLOSED,M,CS,PHONE,USAGE,600.0,2,1,0,0,4.2,6.0,1,REPLACE
CASE000132,CUS_001,SOX010068,MAT_FG_1001,PLT_EAST,20240106,20240106,RMA,CLOSED,M,CS,PHONE,USAGE,720.0,0,0,1,0,4.2,6.0,1,REPLACE
CASE000133,CUS_001,SOX010069,MAT_FG_1002,PLT_SOUTH,20240107,20240107,TS,CLOSED,H,CS,PHONE,USAGE,840.0,1,1,0,0,4.2,6.0,1,REPLACE
CASE000134,CUS_001,SOX010070,MAT_FG_1003,PLT_EAST,20240108,20240108,TS,CLOSED,M,CS,PHONE,USAGE,960.0,2,0,0,0,4.2,6.0,1,REPLACE
CASE000135,CUS_001,SOX010071,MAT_FG_1004,PLT_SOUTH,20240109,,RMA,OPEN,M,CS,PHONE,USAGE,0.0,0,1,0,0,4.2,6.0,1,REPLACE
CASE000136,CUS_001,SOX010072,MAT_FG_1005,PLT_EAST,20240110,20240110,TS,CLOSED,M,CS,PHONE,USAGE,120.0,1,0,0,0,4.2,6.0,1,REPLACE
CASE000137,CUS_001,SOX010073,MAT_FG_1006,PLT_SOUTH,20240111,20240111,TS,CLOSED,M,CS,PHONE,USAGE,240.0,2,1,0,0,4.2,6.0,1,REPLACE
CASE000138,CUS_001,SOX010074,MAT_FG_1001,PLT_EAST,20240112,20240112,RMA,CLOSED,M,CS,PHONE,USAGE,360.0,0,0,0,0,4.2,6.0,1,REPLACE
CASE000139,CUS_001,SOX010075,MAT_FG_1002,PLT_SOUTH,20240113,20240113,TS,CLOSED,M,CS,PHONE,USAGE,480.0,1,1,0,0,4.2,6.0,1,REPLACE
CASE000140,CUS_001,SOX010076,MAT_FG_1003,PLT_EAST,20240114,,TS,OPEN,H,CS,PHONE,USAGE,600.0,2,0,0,0,4.2,6.0,1,REPLACE
CASE000141,CUS_001,SOX010077,MAT_FG_1004,PLT_SOUTH,20240115,20240115,RMA,CLOSED,M,CS,PHONE,USAGE,720.0,0,1,0,0,4.2,6.0,1,REPLACE
CASE000142,CUS_001,SOX010078,MAT_FG_1005,PLT_EAST,20240116,20240116,TS,CLOSED,M,CS,PHONE,USAGE,840.0,1,0,0,0,4.2,6.0,1,REPLACE
