po_id,supplier_id,plant_id,po_status_cd,po_date_key,eta_dt_key,buyer_id,currency_cd,incoterm_cd,approval_status_cd
POX020003,SUP_001,PLT_SOUTH,REL,20240103,20240107,B001,CNY,DAP,APR
POX020004,SUP_001,PLT_EAST,REL,20240104,20240108,B001,CNY,DAP,APR
POX020005,SUP_001,PLT_SOUTH,REL,20240105,20240109,B001,CNY,DAP,APR
POX020006,SUP_001,PLT_EAST,REL,20240106,20240110,B001,CNY,DAP,APR
POX020007,SUP_001,PLT_SOUTH,REL,20240107,20240111,B001,CNY,DAP,APR
POX020008,SUP_001,PLT_EAST,REL,20240108,20240112,B001,CNY,DAP,APR
POX020009,SUP_001,PLT_SOUTH,REL,20240109,20240113,B001,CNY,DAP,APR
POX020010,SUP_001,PLT_EAST,REL,20240110,20240114,B001,CNY,DAP,APR
POX020011,SUP_001,PLT_SOUTH,REL,20240111,20240115,B001,CNY,DAP,APR
POX020012,SUP_001,PLT_EAST,REL,20240112,20240116,B001,CNY,DAP,APR
POX020013,SUP_001,PLT_SOUTH,REL,20240113,20240117,B001,CNY,DAP,APR
POX020014,SUP_001,PLT_EAST,REL,20240114,20240118,B001,CNY,DAP,APR
POX020015,SUP_001,PLT_SOUTH,REL,20240115,20240119,B001,CNY,DAP,APR
POX020016,SUP_001,PLT_EAST,REL,20240116,20240120,B001,CNY,DAP,APR
POX020017,SUP_001,PLT_SOUTH,REL,20240117,20240121,B001,CNY,DAP,APR
POX020018,SUP_001,PLT_EAST,REL,20240118,20240122,B001,CNY,DAP,APR
POX020019,SUP_001,PLT_SOUTH,REL,20240119,20240123,B001,CNY,DAP,APR
POX020020,SUP_001,PLT_EAST,REL,20240120,20240124,B001,CNY,DAP,APR
POX020021,SUP_001,PLT_SOUTH,REL,20240121,20240125,B001,CNY,DAP,APR
POX020022,SUP_001,PLT_EAST,REL,20240122,20240126,B001,CNY,DAP,APR
POX020023,SUP_001,PLT_SOUTH,REL,20240123,20240127,B001,CNY,DAP,APR
POX020024,SUP_001,PLT_EAST,REL,20240124,20240128,B001,CNY,DAP,APR
POX020025,SUP_001,PLT_SOUTH,REL,20240125,20240129,B001,CNY,DAP,APR
POX020026,SUP_001,PLT_EAST,REL,20240126,20240130,B001,CNY,DAP,APR
POX020027,SUP_001,PLT_SOUTH,REL,20240127,20240131,B001,CNY,DAP,APR
POX020028,SUP_001,PLT_EAST,REL,20240128,20240131,B001,CNY,DAP,APR
POX020029,SUP_001,PLT_SOUTH,REL,20240129,20240131,B001,CNY,DAP,APR
POX020030,SUP_001,PLT_EAST,REL,20240130,20240131,B001,CNY,DAP,APR
POX020031,SUP_001,PLT_SOUTH,REL,20240131,20240131,B001,CNY,DAP,APR
POX020032,SUP_001,PLT_EAST,REL,20240101,20240105,B001,CNY,DAP,APR
POX020033,SUP_001,PLT_SOUTH,REL,20240102,20240106,B001,CNY,DAP,APR
POX020034,SUP_001,PLT_EAST,REL,20240103,20240107,B001,CNY,DAP,APR
POX020035,SUP_001,PLT_SOUTH,REL,20240104,20240108,B001,CNY,DAP,APR
POX020036,SUP_001,PLT_EAST,REL,20240105,20240109,B001,CNY,DAP,APR
POX020037,SUP_001,PLT_SOUTH,REL,20240106,20240110,B001,CNY,DAP,APR
POX020038,SUP_001,PLT_EAST,REL,20240107,20240111,B001,CNY,DAP,APR
POX020039,SUP_001,PLT_SOUTH,REL,20240108,20240112,B001,CNY,DAP,APR
POX020040,SUP_001,PLT_EAST,REL,20240109,20240113,B001,CNY,DAP,APR
POX020041,SUP_001,PLT_SOUTH,REL,20240110,20240114,B001,CNY,DAP,APR
POX020042,SUP_001,PLT_EAST,REL,20240111,20240115,B001,CNY,DAP,APR
POX020043,SUP_001,PLT_SOUTH,REL,20240112,20240116,B001,CNY,DAP,APR
POX020044,SUP_001,PLT_EAST,REL,20240113,20240117,B001,CNY,DAP,APR
POX020045,SUP_001,PLT_SOUTH,REL,20240114,20240118,B001,CNY,DAP,APR
POX020046,SUP_001,PLT_EAST,REL,20240115,20240119,B001,CNY,DAP,APR
POX020047,SUP_001,PLT_SOUTH,REL,20240116,20240120,B001,CNY,DAP,APR
POX020048,SUP_001,PLT_EAST,REL,20240117,20240121,B001,CNY,DAP,APR
POX020049,SUP_001,PLT_SOUTH,REL,20240118,20240122,B001,CNY,DAP,APR
POX020050,SUP_001,PLT_EAST,REL,20240119,20240123,B001,CNY,DAP,APR
POX020051,SUP_001,PLT_SOUTH,REL,20240120,20240124,B001,CNY,DAP,APR
POX020052,SUP_001,PLT_EAST,REL,20240121,20240125,B001,CNY,DAP,APR
POX020053,SUP_001,PLT_SOUTH,REL,20240122,20240126,B001,CNY,DAP,APR
POX020054,SUP_001,PLT_EAST,REL,20240123,20240127,B001,CNY,DAP,APR
POX020055,SUP_001,PLT_SOUTH,REL,20240124,20240128,B001,CNY,DAP,APR
POX020056,SUP_001,PLT_EAST,REL,20240125,20240129,B001,CNY,DAP,APR
POX020057,SUP_001,PLT_SOUTH,REL,20240126,20240130,B001,CNY,DAP,APR
POX020058,SUP_001,PLT_EAST,REL,20240127,20240131,B001,CNY,DAP,APR
POX020059,SUP_001,PLT_SOUTH,REL,20240128,20240131,B001,CNY,DAP,APR
POX020060,SUP_001,PLT_EAST,REL,20240129,20240131,B001,CNY,DAP,APR
POX020061,SUP_001,PLT_SOUTH,REL,20240130,20240131,B001,CNY,DAP,APR
POX020062,SUP_001,PLT_EAST,REL,20240131,20240131,B001,CNY,DAP,APR
POX020063,SUP_001,PLT_SOUTH,REL,20240101,20240105,B001,CNY,DAP,APR
POX020064,SUP_001,PLT_EAST,REL,20240102,20240106,B001,CNY,DAP,APR
POX020065,SUP_001,PLT_SOUTH,REL,20240103,20240107,B001,CNY,DAP,APR
POX020066,SUP_001,PLT_EAST,REL,20240104,20240108,B001,CNY,DAP,APR
POX020067,SUP_001,PLT_SOUTH,REL,20240105,20240109,B001,CNY,DAP,APR
POX020068,SUP_001,PLT_EAST,REL,20240106,20240110,B001,CNY,DAP,APR
POX020069,SUP_001,PLT_SOUTH,REL,20240107,20240111,B001,CNY,DAP,APR
POX020070,SUP_001,PLT_EAST,REL,20240108,20240112,B001,CNY,DAP,APR
POX020071,SUP_001,PLT_SOUTH,REL,20240109,20240113,B001,CNY,DAP,APR
POX020072,SUP_001,PLT_EAST,REL,20240110,20240114,B001,CNY,DAP,APR
POX020073,SUP_001,PLT_SOUTH,REL,20240111,20240115,B001,CNY,DAP,APR
POX020074,SUP_001,PLT_EAST,REL,20240112,20240116,B001,CNY,DAP,APR
POX020075,SUP_001,PLT_SOUTH,REL,20240113,20240117,B001,CNY,DAP,APR
POX020076,SUP_001,PLT_EAST,REL,20240114,20240118,B001,CNY,DAP,APR
POX020077,SUP_001,PLT_SOUTH,REL,20240115,20240119,B001,CNY,DAP,APR
POX020078,SUP_001,PLT_EAST,REL,20240116,20240120,B001,CNY,DAP,APR
POX020079,SUP_001,PLT_SOUTH,REL,20240117,20240121,B001,CNY,DAP,APR
POX020080,SUP_001,PLT_EAST,REL,20240118,20240122,B001,CNY,DAP,APR
POX020081,SUP_001,PLT_SOUTH,REL,20240119,20240123,B001,CNY,DAP,APR
POX020082,SUP_001,PLT_EAST,REL,20240120,20240124,B001,CNY,DAP,APR
POX020083,SUP_001,PLT_SOUTH,REL,20240121,20240125,B001,CNY,DAP,APR
POX020084,SUP_001,PLT_EAST,REL,20240122,20240126,B001,CNY,DAP,APR
POX020085,SUP_001,PLT_SOUTH,REL,20240123,20240127,B001,CNY,DAP,APR
POX020086,SUP_001,PLT_EAST,REL,20240124,20240128,B001,CNY,DAP,APR
POX020087,SUP_001,PLT_SOUTH,REL,20240125,20240129,B001,CNY,DAP,APR
POX020088,SUP_001,PLT_EAST,REL,20240126,20240130,B001,CNY,DAP,APR
POX020089,SUP_001,PLT_SOUTH,REL,20240127,20240131,B001,CNY,DAP,APR
POX020090,SUP_001,PLT_EAST,REL,20240128,20240131,B001,CNY,DAP,APR
POX020091,SUP_002,PLT_EAST,REL,20240101,20240105,B001,CNY,DAP,APR
POX020092,SUP_002,PLT_SOUTH,REL,20240102,20240106,B001,CNY,DAP,APR
POX020093,SUP_002,PLT_EAST,REL,20240103,20240107,B001,CNY,DAP,APR
POX020094,SUP_002,PLT_SOUTH,REL,20240104,20240108,B001,CNY,DAP,APR
POX020095,SUP_002,PLT_EAST,REL,20240105,20240109,B001,CNY,DAP,APR
POX020096,SUP_002,PLT_SOUTH,REL,20240106,20240110,B001,CNY,DAP,APR
POX020097,SUP_002,PLT_EAST,REL,20240107,20240111,B001,CNY,DAP,APR
POX020098,SUP_002,PLT_SOUTH,REL,20240108,20240112,B001,CNY,DAP,APR
POX020099,SUP_002,PLT_EAST,REL,20240109,20240113,B001,CNY,DAP,APR
POX020100,SUP_002,PLT_SOUTH,REL,20240110,20240114,B001,CNY,DAP,APR
POX020101,SUP_002,PLT_EAST,REL,20240111,20240115,B001,CNY,DAP,APR
POX020102,SUP_002,PLT_SOUTH,REL,20240112,20240116,B001,CNY,DAP,APR
POX020103,SUP_002,PLT_EAST,REL,20240113,20240117,B001,CNY,DAP,APR
POX020104,SUP_002,PLT_SOUTH,REL,20240114,20240118,B001,CNY,DAP,APR
POX020105,SUP_002,PLT_EAST,REL,20240115,20240119,B001,CNY,DAP,APR
POX020106,SUP_002,PLT_SOUTH,REL,20240116,20240120,B001,CNY,DAP,APR
POX020107,SUP_002,PLT_EAST,REL,20240117,20240121,B001,CNY,DAP,APR
POX020108,SUP_002,PLT_SOUTH,REL,20240118,20240122,B001,CNY,DAP,APR
POX020109,SUP_002,PLT_EAST,REL,20240119,20240123,B001,CNY,DAP,APR
POX020110,SUP_002,PLT_SOUTH,REL,20240120,20240124,B001,CNY,DAP,APR
POX020111,SUP_002,PLT_EAST,REL,20240121,20240125,B001,CNY,DAP,APR
POX020112,SUP_002,PLT_SOUTH,REL,20240122,20240126,B001,CNY,DAP,APR
POX020113,SUP_002,PLT_EAST,REL,20240123,20240127,B001,CNY,DAP,APR
POX020114,SUP_002,PLT_SOUTH,REL,20240124,20240128,B001,CNY,DAP,APR
POX020115,SUP_002,PLT_EAST,REL,20240125,20240129,B001,CNY,DAP,APR
POX020116,SUP_002,PLT_SOUTH,REL,20240126,20240130,B001,CNY,DAP,APR
POX020117,SUP_002,PLT_EAST,REL,20240127,20240131,B001,CNY,DAP,APR
POX020118,SUP_002,PLT_SOUTH,REL,20240128,20240131,B001,CNY,DAP,APR
POX020119,SUP_002,PLT_EAST,REL,20240129,20240131,B001,CNY,DAP,APR
POX020120,SUP_002,PLT_SOUTH,REL,20240130,20240131,B001,CNY,DAP,APR
POX020121,SUP_002,PLT_EAST,REL,20240131,20240131,B001,CNY,DAP,APR
POX020122,SUP_002,PLT_SOUTH,REL,20240101,20240105,B001,CNY,DAP,APR
POX020123,SUP_002,PLT_EAST,REL,20240102,20240106,B001,CNY,DAP,APR
POX020124,SUP_002,PLT_SOUTH,REL,20240103,20240107,B001,CNY,DAP,APR
POX020125,SUP_002,PLT_EAST,REL,20240104,20240108,B001,CNY,DAP,APR
POX020126,SUP_002,PLT_SOUTH,REL,20240105,20240109,B001,CNY,DAP,APR
POX020127,SUP_002,PLT_EAST,REL,20240106,20240110,B001,CNY,DAP,APR
POX020128,SUP_002,PLT_SOUTH,REL,20240107,20240111,B001,CNY,DAP,APR
POX020129,SUP_002,PLT_EAST,REL,20240108,20240112,B001,CNY,DAP,APR
POX020130,SUP_002,PLT_SOUTH,REL,20240109,20240113,B001,CNY,DAP,APR
POX020131,SUP_002,PLT_EAST,REL,20240110,20240114,B001,CNY,DAP,APR
POX020132,SUP_002,PLT_SOUTH,REL,20240111,20240115,B001,CNY,DAP,APR
POX020133,SUP_002,PLT_EAST,REL,20240112,20240116,B001,CNY,DAP,APR
POX020134,SUP_002,PLT_SOUTH,REL,20240113,20240117,B001,CNY,DAP,APR
POX020135,SUP_002,PLT_EAST,REL,20240114,20240118,B001,CNY,DAP,APR
POX020136,SUP_002,PLT_SOUTH,REL,20240115,20240119,B001,CNY,DAP,APR
POX020137,SUP_002,PLT_EAST,REL,20240116,20240120,B001,CNY,DAP,APR
POX020138,SUP_002,PLT_SOUTH,REL,20240117,20240121,B001,CNY,DAP,APR
POX020139,SUP_002,PLT_EAST,REL,20240118,20240122,B001,CNY,DAP,APR
POX020140,SUP_002,PLT_SOUTH,REL,20240119,20240123,B001,CNY,DAP,APR
POX020141,SUP_002,PLT_EAST,REL,20240120,20240124,B001,CNY,DAP,APR
POX020142,SUP_002,PLT_SOUTH,REL,20240121,20240125,B001,CNY,DAP,APR
POX020143,SUP_002,PLT_EAST,REL,20240122,20240126,B001,CNY,DAP,APR
POX020144,SUP_002,PLT_SOUTH,REL,20240123,20240127,B001,CNY,DAP,APR
POX020145,SUP_002,PLT_EAST,REL,20240124,20240128,B001,CNY,DAP,APR
POX020146,SUP_002,PLT_SOUTH,REL,20240125,20240129,B001,CNY,DAP,APR
POX020147,SUP_002,PLT_EAST,REL,20240126,20240130,B001,CNY,DAP,APR
POX020148,SUP_002,PLT_SOUTH,REL,20240127,20240131,B001,CNY,DAP,APR
POX020149,SUP_002,PLT_EAST,REL,20240128,20240131,B001,CNY,DAP,APR
POX020150,SUP_002,PLT_SOUTH,REL,20240129,20240131,B001,CNY,DAP,APR
POX020151,SUP_002,PLT_EAST,REL,20240130,20240131,B001,CNY,DAP,APR
POX020152,SUP_002,PLT_SOUTH,REL,20240131,20240131,B001,CNY,DAP,APR
POX020153,SUP_002,PLT_EAST,REL,20240101,20240105,B001,CNY,DAP,APR
POX020154,SUP_002,PLT_SOUTH,REL,20240102,20240106,B001,CNY,DAP,APR
POX020155,SUP_002,PLT_EAST,REL,20240103,20240107,B001,CNY,DAP,APR
POX020156,SUP_002,PLT_SOUTH,REL,20240104,20240108,B001,CNY,DAP,APR
POX020157,SUP_002,PLT_EAST,REL,20240105,20240109,B001,CNY,DAP,APR
POX020158,SUP_002,PLT_SOUTH,REL,20240106,20240110,B001,CNY,DAP,APR
POX020159,SUP_002,PLT_EAST,REL,20240107,20240111,B001,CNY,DAP,APR
POX020160,SUP_002,PLT_SOUTH,REL,20240108,20240112,B001,CNY,DAP,APR
POX020161,SUP_002,PLT_EAST,REL,20240109,20240113,B001,CNY,DAP,APR
POX020162,SUP_002,PLT_SOUTH,REL,20240110,20240114,B001,CNY,DAP,APR
POX020163,SUP_002,PLT_EAST,REL,20240111,20240115,B001,CNY,DAP,APR
POX020164,SUP_002,PLT_SOUTH,REL,20240112,20240116,B001,CNY,DAP,APR
POX020165,SUP_002,PLT_EAST,REL,20240113,20240117,B001,CNY,DAP,APR
POX020166,SUP_002,PLT_SOUTH,REL,20240114,20240118,B001,CNY,DAP,APR
POX020167,SUP_002,PLT_EAST,REL,20240115,20240119,B001,CNY,DAP,APR
POX020168,SUP_002,PLT_SOUTH,REL,20240116,20240120,B001,CNY,DAP,APR
POX020169,SUP_002,PLT_EAST,REL,20240117,20240121,B001,CNY,DAP,APR
POX020170,SUP_002,PLT_SOUTH,REL,20240118,20240122,B001,CNY,DAP,APR
POX020171,SUP_002,PLT_EAST,REL,20240119,20240123,B001,CNY,DAP,APR
POX020172,SUP_002,PLT_SOUTH,REL,20240120,20240124,B001,CNY,DAP,APR
POX020173,SUP_002,PLT_EAST,REL,20240121,20240125,B001,CNY,DAP,APR
POX020174,SUP_002,PLT_SOUTH,REL,20240122,20240126,B001,CNY,DAP,APR
POX020175,SUP_002,PLT_EAST,REL,20240123,20240127,B001,CNY,DAP,APR
POX020176,SUP_002,PLT_SOUTH,REL,20240124,20240128,B001,CNY,DAP,APR
POX020177,SUP_002,PLT_EAST,REL,20240125,20240129,B001,CNY,DAP,APR
POX020178,SUP_002,PLT_SOUTH,REL,20240126,20240130,B001,CNY,DAP,APR
POX020179,SUP_002,PLT_EAST,REL,20240127,20240131,B001,CNY,DAP,APR
POX020180,SUP_002,PLT_SOUTH,REL,20240128,20240131,B001,CNY,DAP,APR
POX020181,SUP_003,PLT_SOUTH,REL,20240101,20240105,B001,CNY,DAP,APR
POX020182,SUP_003,PLT_EAST,REL,20240102,20240106,B001,CNY,DAP,APR
POX020183,SUP_003,PLT_SOUTH,REL,20240103,20240107,B001,CNY,DAP,APR
POX020184,SUP_003,PLT_EAST,REL,20240104,20240108,B001,CNY,DAP,APR
POX020185,SUP_003,PLT_SOUTH,REL,20240105,20240109,B001,CNY,DAP,APR
POX020186,SUP_003,PLT_EAST,REL,20240106,20240110,B001,CNY,DAP,APR
POX020187,SUP_003,PLT_SOUTH,REL,20240107,20240111,B001,CNY,DAP,APR
POX020188,SUP_003,PLT_EAST,REL,20240108,20240112,B001,CNY,DAP,APR
POX020189,SUP_003,PLT_SOUTH,REL,20240109,20240113,B001,CNY,DAP,APR
POX020190,SUP_003,PLT_EAST,REL,20240110,20240114,B001,CNY,DAP,APR
POX020191,SUP_003,PLT_SOUTH,REL,20240111,20240115,B001,CNY,DAP,APR
POX020192,SUP_003,PLT_EAST,REL,20240112,20240116,B001,CNY,DAP,APR
POX020193,SUP_003,PLT_SOUTH,REL,20240113,20240117,B001,CNY,DAP,APR
POX020194,SUP_003,PLT_EAST,REL,20240114,20240118,B001,CNY,DAP,APR
POX020195,SUP_003,PLT_SOUTH,REL,20240115,20240119,B001,CNY,DAP,APR
POX020196,SUP_003,PLT_EAST,REL,20240116,20240120,B001,CNY,DAP,APR
POX020197,SUP_003,PLT_SOUTH,REL,20240117,20240121,B001,CNY,DAP,APR
POX020198,SUP_003,PLT_EAST,REL,20240118,20240122,B001,CNY,DAP,APR
POX020199,SUP_003,PLT_SOUTH,REL,20240119,20240123,B001,CNY,DAP,APR
POX020200,SUP_003,PLT_EAST,REL,20240120,20240124,B001,CNY,DAP,APR
POX020201,SUP_003,PLT_SOUTH,REL,20240121,20240125,B001,CNY,DAP,APR
POX020202,SUP_003,PLT_EAST,REL,20240122,20240126,B001,CNY,DAP,APR
POX020203,SUP_003,PLT_SOUTH,REL,20240123,20240127,B001,CNY,DAP,APR
POX020204,SUP_003,PLT_EAST,REL,20240124,20240128,B001,CNY,DAP,APR
POX020205,SUP_003,PLT_SOUTH,REL,20240125,20240129,B001,CNY,DAP,APR
POX020206,SUP_003,PLT_EAST,REL,20240126,20240130,B001,CNY,DAP,APR
POX020207,SUP_003,PLT_SOUTH,REL,20240127,20240131,B001,CNY,DAP,APR
POX020208,SUP_003,PLT_EAST,REL,20240128,20240131,B001,CNY,DAP,APR
POX020209,SUP_003,PLT_SOUTH,REL,20240129,20240131,B001,CNY,DAP,APR
POX020210,SUP_003,PLT_EAST,REL,20240130,20240131,B001,CNY,DAP,APR
POX020211,SUP_003,PLT_SOUTH,REL,20240131,20240131,B001,CNY,DAP,APR
POX020212,SUP_003,PLT_EAST,REL,20240101,20240105,B001,CNY,DAP,APR
POX020213,SUP_003,PLT_SOUTH,REL,20240102,20240106,B001,CNY,DAP,APR
POX020214,SUP_003,PLT_EAST,REL,20240103,20240107,B001,CNY,DAP,APR
POX020215,SUP_003,PLT_SOUTH,REL,20240104,20240108,B001,CNY,DAP,APR
POX020216,SUP_003,PLT_EAST,REL,20240105,20240109,B001,CNY,DAP,APR
POX020217,SUP_003,PLT_SOUTH,REL,20240106,20240110,B001,CNY,DAP,APR
POX020218,SUP_003,PLT_EAST,REL,20240107,20240111,B001,CNY,DAP,APR
POX020219,SUP_003,PLT_SOUTH,REL,20240108,20240112,B001,CNY,DAP,APR
POX020220,SUP_003,PLT_EAST,REL,20240109,20240113,B001,CNY,DAP,APR
POX020221,SUP_003,PLT_SOUTH,REL,20240110,20240114,B001,CNY,DAP,APR
POX020222,SUP_003,PLT_EAST,REL,20240111,20240115,B001,CNY,DAP,APR
POX020223,SUP_003,PLT_SOUTH,REL,20240112,20240116,B001,CNY,DAP,APR
POX020224,SUP_003,PLT_EAST,REL,20240113,20240117,B001,CNY,DAP,APR
POX020225,SUP_003,PLT_SOUTH,REL,20240114,20240118,B001,CNY,DAP,APR
POX020226,SUP_003,PLT_EAST,REL,20240115,20240119,B001,CNY,DAP,APR
POX020227,SUP_003,PLT_SOUTH,REL,20240116,20240120,B001,CNY,DAP,APR
POX020228,SUP_003,PLT_EAST,REL,20240117,20240121,B001,CNY,DAP,APR
POX020229,SUP_003,PLT_SOUTH,REL,20240118,20240122,B001,CNY,DAP,APR
POX020230,SUP_003,PLT_EAST,REL,20240119,20240123,B001,CNY,DAP,APR
POX020231,SUP_003,PLT_SOUTH,REL,20240120,20240124,B001,CNY,DAP,APR
POX020232,SUP_003,PLT_EAST,REL,20240121,20240125,B001,CNY,DAP,APR
POX020233,SUP_003,PLT_SOUTH,REL,20240122,20240126,B001,CNY,DAP,APR
POX020234,SUP_003,PLT_EAST,REL,20240123,20240127,B001,CNY,DAP,APR
POX020235,SUP_003,PLT_SOUTH,REL,20240124,20240128,B001,CNY,DAP,APR
POX020236,SUP_003,PLT_EAST,REL,20240125,20240129,B001,CNY,DAP,APR
POX020237,SUP_003,PLT_SOUTH,REL,20240126,20240130,B001,CNY,DAP,APR
POX020238,SUP_003,PLT_EAST,REL,20240127,20240131,B001,CNY,DAP,APR
POX020239,SUP_003,PLT_SOUTH,REL,20240128,20240131,B001,CNY,DAP,APR
POX020240,SUP_003,PLT_EAST,REL,20240129,20240131,B001,CNY,DAP,APR
POX020241,SUP_003,PLT_SOUTH,REL,20240130,20240131,B001,CNY,DAP,APR
POX020242,SUP_003,PLT_EAST,REL,20240131,20240131,B001,CNY,DAP,APR
POX020243,SUP_003,PLT_SOUTH,REL,20240101,20240105,B001,CNY,DAP,APR
POX020244,SUP_003,PLT_EAST,REL,20240102,20240106,B001,CNY,DAP,APR
POX020245,SUP_003,PLT_SOUTH,REL,20240103,20240107,B001,CNY,DAP,APR
POX020246,SUP_003,PLT_EAST,REL,20240104,20240108,B001,CNY,DAP,APR
POX020247,SUP_003,PLT_SOUTH,REL,20240105,20240109,B001,CNY,DAP,APR
POX020248,SUP_003,PLT_EAST,REL,20240106,20240110,B001,CNY,DAP,APR
POX020249,SUP_003,PLT_SOUTH,REL,20240107,20240111,B001,CNY,DAP,APR
POX020250,SUP_003,PLT_EAST,REL,20240108,20240112,B001,CNY,DAP,APR
POX020251,SUP_003,PLT_SOUTH,REL,20240109,20240113,B001,CNY,DAP,APR
POX020252,SUP_003,PLT_EAST,REL,20240110,20240114,B001,CNY,DAP,APR
POX020253,SUP_003,PLT_SOUTH,REL,20240111,20240115,B001,CNY,DAP,APR
POX020254,SUP_003,PLT_EAST,REL,20240112,20240116,B001,CNY,DAP,APR
POX020255,SUP_003,PLT_SOUTH,REL,20240113,20240117,B001,CNY,DAP,APR
POX020256,SUP_003,PLT_EAST,REL,20240114,20240118,B001,CNY,DAP,APR
POX020257,SUP_003,PLT_SOUTH,REL,20240115,20240119,B001,CNY,DAP,APR
POX020258,SUP_003,PLT_EAST,REL,20240116,20240120,B001,CNY,DAP,APR
POX020259,SUP_003,PLT_SOUTH,REL,20240117,20240121,B001,CNY,DAP,APR
POX020260,SUP_003,PLT_EAST,REL,20240118,20240122,B001,CNY,DAP,APR
POX020261,SUP_003,PLT_SOUTH,REL,20240119,20240123,B001,CNY,DAP,APR
POX020262,SUP_003,PLT_EAST,REL,20240120,20240124,B001,CNY,DAP,APR
POX020263,SUP_003,PLT_SOUTH,REL,20240121,20240125,B001,CNY,DAP,APR
POX020264,SUP_003,PLT_EAST,REL,20240122,20240126,B001,CNY,DAP,APR
POX020265,SUP_003,PLT_SOUTH,REL,20240123,20240127,B001,CNY,DAP,APR
POX020266,SUP_003,PLT_EAST,REL,20240124,20240128,B001,CNY,DAP,APR
POX020267,SUP_003,PLT_SOUTH,REL,20240125,20240129,B001,CNY,DAP,APR
POX020268,SUP_003,PLT_EAST,REL,20240126,20240130,B001,CNY,DAP,APR
POX020269,SUP_003,PLT_SOUTH,REL,20240127,20240131,B001,CNY,DAP,APR
POX020270,SUP_003,PLT_EAST,REL,20240128,20240131,B001,CNY,DAP,APR
POX020271,SUP_004,PLT_EAST,REL,20240101,20240105,B001,CNY,DAP,APR
POX020272,SUP_004,PLT_SOUTH,REL,20240102,20240106,B001,CNY,DAP,APR
POX020273,SUP_004,PLT_EAST,REL,20240103,20240107,B001,CNY,DAP,APR
POX020274,SUP_004,PLT_SOUTH,REL,20240104,20240108,B001,CNY,DAP,APR
POX020275,SUP_004,PLT_EAST,REL,20240105,20240109,B001,CNY,DAP,APR
POX020276,SUP_004,PLT_SOUTH,REL,20240106,20240110,B001,CNY,DAP,APR
POX020277,SUP_004,PLT_EAST,REL,20240107,20240111,B001,CNY,DAP,APR
POX020278,SUP_004,PLT_SOUTH,REL,20240108,20240112,B001,CNY,DAP,APR
POX020279,SUP_004,PLT_EAST,REL,20240109,20240113,B001,CNY,DAP,APR
POX020280,SUP_004,PLT_SOUTH,REL,20240110,20240114,B001,CNY,DAP,APR
POX020281,SUP_004,PLT_EAST,REL,20240111,20240115,B001,CNY,DAP,APR
POX020282,SUP_004,PLT_SOUTH,REL,20240112,20240116,B001,CNY,DAP,APR
POX020283,SUP_004,PLT_EAST,REL,20240113,20240117,B001,CNY,DAP,APR
POX020284,SUP_004,PLT_SOUTH,REL,20240114,20240118,B001,CNY,DAP,APR
