qa_defect_id,inspection_id,defect_type_cd,defect_qty,defect_loc_cd,root_cause_cd,containment_fg
100130,INSPX090065,DF03,1,NA,TBD,0
100131,INSPX090066,DF03,1,NA,TBD,0
100132,INSPX090066,DF04,1,NA,TBD,0
100133,INSPX090067,DF01,6,NA,TBD,0
100134,INSPX090067,DF02,1,NA,TBD,0
100135,INSPX090068,DF02,1,NA,TBD,0
100136,INSPX090068,DF03,1,NA,TBD,0
100137,INSPX090069,DF03,2,NA,TBD,0
100138,INSPX090069,DF04,1,NA,TBD,0
100139,INSPX090070,DF01,1,NA,TBD,0
100140,INSPX090070,DF02,1,NA,TBD,0
100141,INSPX090071,DF02,2,NA,TBD,0
100142,INSPX090071,DF03,1,NA,TBD,0
100143,INSPX090072,DF03,3,NA,TBD,0
100144,INSPX090072,DF04,1,NA,TBD,0
100145,INSPX090073,DF01,2,NA,TBD,0
100146,INSPX090073,DF02,1,NA,TBD,0
100147,INSPX090074,DF02,3,NA,TBD,0
100148,INSPX090074,DF03,1,NA,TBD,0
100149,INSPX090075,DF03,4,NA,TBD,0
100150,INSPX090075,DF04,1,NA,TBD,0
100151,INSPX090076,DF01,3,NA,TBD,0
100152,INSPX090076,DF02,1,NA,TBD,0
100153,INSPX090077,DF02,4,NA,TBD,0
100154,INSPX090077,DF03,1,NA,TBD,0
100155,INSPX090078,DF03,5,NA,TBD,0
100156,INSPX090078,DF04,1,NA,TBD,0
100157,INSPX090079,DF01,4,NA,TBD,0
100158,INSPX090079,DF02,1,NA,TBD,0
100159,INSPX090080,DF02,5,NA,TBD,0
100160,INSPX090080,DF03,1,NA,TBD,0
100161,INSPX090081,DF03,6,NA,TBD,0
100162,INSPX090081,DF04,1,NA,TBD,0
100163,INSPX090082,DF01,5,NA,TBD,0
100164,INSPX090082,DF02,1,NA,TBD,0
100165,INSPX090083,DF02,6,NA,TBD,0
100166,INSPX090083,DF03,1,NA,TBD,0
100167,INSPX090084,DF03,1,NA,TBD,0
100168,INSPX090084,DF04,1,NA,TBD,0
100169,INSPX090085,DF01,6,NA,TBD,0
100170,INSPX090085,DF02,1,NA,TBD,0
100171,INSPX090086,DF02,1,NA,TBD,0
100172,INSPX090086,DF03,1,NA,TBD,0
100173,INSPX090087,DF03,2,NA,TBD,0
100174,INSPX090087,DF04,1,NA,TBD,0
100175,INSPX090088,DF01,1,NA,TBD,0
100176,INSPX090088,DF02,1,NA,TBD,0
100177,INSPX090089,DF02,2,NA,TBD,0
100178,INSPX090089,DF03,1,NA,TBD,0
100179,INSPX090090,DF03,3,NA,TBD,0
100180,INSPX090090,DF04,1,NA,TBD,0
100181,INSPX090091,DF01,2,NA,TBD,0
100182,INSPX090091,DF02,1,NA,TBD,0
100183,INSPX090092,DF02,3,NA,TBD,0
100184,INSPX090092,DF03,1,NA,TBD,0
100185,INSPX090093,DF03,4,NA,TBD,0
100186,INSPX090093,DF04,1,NA,TBD,0
100187,INSPX090094,DF02,3,NA,TBD,0
100188,INSPX090094,DF03,1,NA,TBD,0
100189,INSPX090095,DF03,4,NA,TBD,0
100190,INSPX090095,DF04,1,NA,TBD,0
100191,INSPX090096,DF04,5,NA,TBD,0
100192,INSPX090096,DF01,1,NA,TBD,0
100193,INSPX090097,DF02,4,NA,TBD,0
100194,INSPX090097,DF03,1,NA,TBD,0
100195,INSPX090098,DF03,5,NA,TBD,0
100196,INSPX090098,DF04,1,NA,TBD,0
100197,INSPX090099,DF04,6,NA,TBD,0
100198,INSPX090099,DF01,1,NA,TBD,0
100199,INSPX090100,DF02,5,NA,TBD,0
100200,INSPX090100,DF03,1,NA,TBD,0
100201,INSPX090101,DF03,6,NA,TBD,0
100202,INSPX090101,DF04,1,NA,TBD,0
100203,INSPX090102,DF04,1,NA,TBD,0
100204,INSPX090102,DF01,1,NA,TBD,0
100205,INSPX090103,DF02,6,NA,TBD,0
100206,INSPX090103,DF03,1,NA,TBD,0
100207,INSPX090104,DF03,1,NA,TBD,0
100208,INSPX090104,DF04,1,NA,TBD,0
100209,INSPX090105,DF04,2,NA,TBD,0
100210,INSPX090105,DF01,1,NA,TBD,0
100211,INSPX090106,DF02,1,NA,TBD,0
100212,INSPX090106,DF03,1,NA,TBD,0
100213,INSPX090107,DF03,2,NA,TBD,0
100214,INSPX090107,DF04,1,NA,TBD,0
100215,INSPX090108,DF04,3,NA,TBD,0
100216,INSPX090108,DF01,1,NA,TBD,0
100217,INSPX090109,DF02,2,NA,TBD,0
100218,INSPX090109,DF03,1,NA,TBD,0
100219,INSPX090110,DF03,3,NA,TBD,0
100220,INSPX090110,DF04,1,NA,TBD,0
100221,INSPX090111,DF04,4,NA,TBD,0
100222,INSPX090111,DF01,1,NA,TBD,0
100223,INSPX090112,DF02,3,NA,TBD,0
100224,INSPX090112,DF03,1,NA,TBD,0
100225,INSPX090113,DF03,4,NA,TBD,0
100226,INSPX090113,DF04,1,NA,TBD,0
100227,INSPX090114,DF04,5,NA,TBD,0
100228,INSPX090114,DF01,1,NA,TBD,0
100229,INSPX090115,DF02,4,NA,TBD,0
100230,INSPX090115,DF03,1,NA,TBD,0
100231,INSPX090116,DF03,5,NA,TBD,0
100232,INSPX090116,DF04,1,NA,TBD,0
100233,INSPX090117,DF04,6,NA,TBD,0
100234,INSPX090117,DF01,1,NA,TBD,0
100235,INSPX090118,DF02,5,NA,TBD,0
100236,INSPX090118,DF03,1,NA,TBD,0
100237,INSPX090119,DF03,6,NA,TBD,0
100238,INSPX090119,DF04,1,NA,TBD,0
100239,INSPX090120,DF04,1,NA,TBD,0
100240,INSPX090120,DF01,1,NA,TBD,0
100241,INSPX090121,DF02,6,NA,TBD,0
100242,INSPX090121,DF03,1,NA,TBD,0
100243,INSPX090122,DF03,1,NA,TBD,0
100244,INSPX090122,DF04,1,NA,TBD,0
100245,INSPX090123,DF04,2,NA,TBD,0
100246,INSPX090123,DF01,1,NA,TBD,0
100247,INSPX090124,DF02,1,NA,TBD,0
100248,INSPX090124,DF03,1,NA,TBD,0
100249,INSPX090125,DF03,2,NA,TBD,0
100250,INSPX090125,DF04,1,NA,TBD,0
100251,INSPX090126,DF04,3,NA,TBD,0
100252,INSPX090126,DF01,1,NA,TBD,0
100253,INSPX090127,DF02,2,NA,TBD,0
100254,INSPX090127,DF03,1,NA,TBD,0
100255,INSPX090128,DF03,3,NA,TBD,0
100256,INSPX090128,DF04,1,NA,TBD,0
100257,INSPX090129,DF04,4,NA,TBD,0
100258,INSPX090129,DF01,1,NA,TBD,0
100259,INSPX090130,DF02,3,NA,TBD,0
100260,INSPX090130,DF03,1,NA,TBD,0
100261,INSPX090131,DF03,4,NA,TBD,0
100262,INSPX090131,DF04,1,NA,TBD,0
100263,INSPX090132,DF04,5,NA,TBD,0
100264,INSPX090132,DF01,1,NA,TBD,0
100265,INSPX090133,DF02,4,NA,TBD,0
100266,INSPX090133,DF03,1,NA,TBD,0
100267,INSPX090134,DF03,5,NA,TBD,0
100268,INSPX090134,DF04,1,NA,TBD,0
100269,INSPX090135,DF04,6,NA,TBD,0
100270,INSPX090135,DF01,1,NA,TBD,0
100271,INSPX090136,DF02,5,NA,TBD,0
100272,INSPX090136,DF03,1,NA,TBD,0
100273,INSPX090137,DF03,6,NA,TBD,0
100274,INSPX090137,DF04,1,NA,TBD,0
100275,INSPX090138,DF04,1,NA,TBD,0
100276,INSPX090138,DF01,1,NA,TBD,0
100277,INSPX090139,DF02,6,NA,TBD,0
100278,INSPX090139,DF03,1,NA,TBD,0
100279,INSPX090140,DF03,1,NA,TBD,0
100280,INSPX090140,DF04,1,NA,TBD,0
100281,INSPX090141,DF04,2,NA,TBD,0
100282,INSPX090141,DF01,1,NA,TBD,0
100283,INSPX090142,DF02,1,NA,TBD,0
100284,INSPX090142,DF03,1,NA,TBD,0
100285,INSPX090143,DF03,2,NA,TBD,0
100286,INSPX090143,DF04,1,NA,TBD,0
100287,INSPX090144,DF04,3,NA,TBD,0
100288,INSPX090144,DF01,1,NA,TBD,0
100289,INSPX090145,DF02,2,NA,TBD,0
100290,INSPX090145,DF03,1,NA,TBD,0
100291,INSPX090146,DF03,3,NA,TBD,0
100292,INSPX090146,DF04,1,NA,TBD,0
100293,INSPX090147,DF04,4,NA,TBD,0
100294,INSPX090147,DF01,1,NA,TBD,0
100295,INSPX090148,DF02,3,NA,TBD,0
100296,INSPX090148,DF03,1,NA,TBD,0
100297,INSPX090149,DF03,4,NA,TBD,0
100298,INSPX090149,DF04,1,NA,TBD,0
100299,INSPX090150,DF04,5,NA,TBD,0
100300,INSPX090150,DF01,1,NA,TBD,0
100301,INSPX090151,DF02,4,NA,TBD,0
100302,INSPX090151,DF03,1,NA,TBD,0
100303,INSPX090152,DF03,5,NA,TBD,0
100304,INSPX090152,DF04,1,NA,TBD,0
100305,INSPX090153,DF04,6,NA,TBD,0
100306,INSPX090153,DF01,1,NA,TBD,0
100307,INSPX090154,DF02,5,NA,TBD,0
100308,INSPX090154,DF03,1,NA,TBD,0
100309,INSPX090155,DF03,6,NA,TBD,0
100310,INSPX090155,DF04,1,NA,TBD,0
100311,INSPX090156,DF04,1,NA,TBD,0
100312,INSPX090156,DF01,1,NA,TBD,0
100313,INSPX090157,DF02,6,NA,TBD,0
100314,INSPX090157,DF03,1,NA,TBD,0
100315,INSPX090158,DF03,1,NA,TBD,0
100316,INSPX090158,DF04,1,NA,TBD,0
100317,INSPX090159,DF04,2,NA,TBD,0
100318,INSPX090159,DF01,1,NA,TBD,0
100319,INSPX090160,DF02,1,NA,TBD,0
100320,INSPX090160,DF03,1,NA,TBD,0
100321,INSPX090161,DF03,2,NA,TBD,0
100322,INSPX090161,DF04,1,NA,TBD,0
100323,INSPX090162,DF04,3,NA,TBD,0
100324,INSPX090162,DF01,1,NA,TBD,0
100325,INSPX090163,DF02,2,NA,TBD,0
100326,INSPX090163,DF03,1,NA,TBD,0
100327,INSPX090164,DF03,3,NA,TBD,0
100328,INSPX090164,DF04,1,NA,TBD,0
100329,INSPX090165,DF04,4,NA,TBD,0
100330,INSPX090165,DF01,1,NA,TBD,0
100331,INSPX090166,DF02,3,NA,TBD,0
100332,INSPX090166,DF03,1,NA,TBD,0
100333,INSPX090167,DF03,4,NA,TBD,0
100334,INSPX090167,DF04,1,NA,TBD,0
100335,INSPX090168,DF04,5,NA,TBD,0
100336,INSPX090168,DF01,1,NA,TBD,0
100337,INSPX090169,DF02,4,NA,TBD,0
100338,INSPX090169,DF03,1,NA,TBD,0
100339,INSPX090170,DF03,5,NA,TBD,0
100340,INSPX090170,DF04,1,NA,TBD,0
100341,INSPX090171,DF04,6,NA,TBD,0
100342,INSPX090171,DF01,1,NA,TBD,0
100343,INSPX090172,DF02,5,NA,TBD,0
100344,INSPX090172,DF03,1,NA,TBD,0
100345,INSPX090173,DF03,6,NA,TBD,0
100346,INSPX090173,DF04,1,NA,TBD,0
100347,INSPX090174,DF04,1,NA,TBD,0
100348,INSPX090174,DF01,1,NA,TBD,0
100349,INSPX090175,DF02,6,NA,TBD,0
100350,INSPX090175,DF03,1,NA,TBD,0
100351,INSPX090176,DF03,1,NA,TBD,0
100352,INSPX090176,DF04,1,NA,TBD,0
100353,INSPX090177,DF04,2,NA,TBD,0
100354,INSPX090177,DF01,1,NA,TBD,0
100355,INSPX090178,DF02,1,NA,TBD,0
100356,INSPX090178,DF03,1,NA,TBD,0
100357,INSPX090179,DF03,2,NA,TBD,0
100358,INSPX090179,DF04,1,NA,TBD,0
100359,INSPX090180,DF04,3,NA,TBD,0
100360,INSPX090180,DF01,1,NA,TBD,0
100361,INSPX090181,DF02,2,NA,TBD,0
100362,INSPX090181,DF03,1,NA,TBD,0
100363,INSPX090182,DF03,3,NA,TBD,0
100364,INSPX090182,DF04,1,NA,TBD,0
100365,INSPX090183,DF04,4,NA,TBD,0
100366,INSPX090183,DF01,1,NA,TBD,0
100367,INSPX090184,DF02,3,NA,TBD,0
100368,INSPX090184,DF03,1,NA,TBD,0
100369,INSPX090185,DF03,4,NA,TBD,0
100370,INSPX090185,DF04,1,NA,TBD,0
100371,INSPX090186,DF04,5,NA,TBD,0
100372,INSPX090186,DF01,1,NA,TBD,0
100373,INSPX090187,DF03,4,NA,TBD,0
100374,INSPX090187,DF04,1,NA,TBD,0
100375,INSPX090188,DF04,5,NA,TBD,0
100376,INSPX090188,DF01,1,NA,TBD,0
100377,INSPX090189,DF01,6,NA,TBD,0
100378,INSPX090189,DF02,1,NA,TBD,0
100379,INSPX090190,DF03,5,NA,TBD,0
100380,INSPX090190,DF04,1,NA,TBD,0
100381,INSPX090191,DF04,6,NA,TBD,0
100382,INSPX090191,DF01,1,NA,TBD,0
100383,INSPX090192,DF01,1,NA,TBD,0
100384,INSPX090192,DF02,1,NA,TBD,0
100385,INSPX090193,DF03,6,NA,TBD,0
100386,INSPX090193,DF04,1,NA,TBD,0
100387,INSPX090194,DF04,1,NA,TBD,0
100388,INSPX090194,DF01,1,NA,TBD,0
100389,INSPX090195,DF01,2,NA,TBD,0
100390,INSPX090195,DF02,1,NA,TBD,0
100391,INSPX090196,DF03,1,NA,TBD,0
100392,INSPX090196,DF04,1,NA,TBD,0
100393,INSPX090197,DF04,2,NA,TBD,0
100394,INSPX090197,DF01,1,NA,TBD,0
100395,INSPX090198,DF01,3,NA,TBD,0
100396,INSPX090198,DF02,1,NA,TBD,0
100397,INSPX090199,DF03,2,NA,TBD,0
100398,INSPX090199,DF04,1,NA,TBD,0
100399,INSPX090200,DF04,3,NA,TBD,0
100400,INSPX090200,DF01,1,NA,TBD,0
100401,INSPX090201,DF01,4,NA,TBD,0
100402,INSPX090201,DF02,1,NA,TBD,0
100403,INSPX090202,DF03,3,NA,TBD,0
100404,INSPX090202,DF04,1,NA,TBD,0
100405,INSPX090203,DF04,4,NA,TBD,0
100406,INSPX090203,DF01,1,NA,TBD,0
100407,INSPX090204,DF01,5,NA,TBD,0
100408,INSPX090204,DF02,1,NA,TBD,0
100409,INSPX090205,DF03,4,NA,TBD,0
100410,INSPX090205,DF04,1,NA,TBD,0
100411,INSPX090206,DF04,5,NA,TBD,0
100412,INSPX090206,DF01,1,NA,TBD,0
100413,INSPX090207,DF01,6,NA,TBD,0
100414,INSPX090207,DF02,1,NA,TBD,0
100415,INSPX090208,DF03,5,NA,TBD,0
100416,INSPX090208,DF04,1,NA,TBD,0
100417,INSPX090209,DF04,6,NA,TBD,0
100418,INSPX090209,DF01,1,NA,TBD,0
100419,INSPX090210,DF01,1,NA,TBD,0
100420,INSPX090210,DF02,1,NA,TBD,0
100421,INSPX090211,DF03,6,NA,TBD,0
100422,INSPX090211,DF04,1,NA,TBD,0
100423,INSPX090212,DF04,1,NA,TBD,0
100424,INSPX090212,DF01,1,NA,TBD,0
100425,INSPX090213,DF01,2,NA,TBD,0
100426,INSPX090213,DF02,1,NA,TBD,0
100427,INSPX090214,DF03,1,NA,TBD,0
100428,INSPX090214,DF04,1,NA,TBD,0
100429,INSPX090215,DF04,2,NA,TBD,0
100430,INSPX090215,DF01,1,NA,TBD,0
100431,INSPX090216,DF01,3,NA,TBD,0
100432,INSPX090216,DF02,1,NA,TBD,0
100433,INSPX090217,DF03,2,NA,TBD,0
100434,INSPX090217,DF04,1,NA,TBD,0
100435,INSPX090218,DF04,3,NA,TBD,0
100436,INSPX090218,DF01,1,NA,TBD,0
100437,INSPX090219,DF01,4,NA,TBD,0
100438,INSPX090219,DF02,1,NA,TBD,0
100439,INSPX090220,DF03,3,NA,TBD,0
100440,INSPX090220,DF04,1,NA,TBD,0
100441,INSPX090221,DF04,4,NA,TBD,0
100442,INSPX090221,DF01,1,NA,TBD,0
100443,INSPX090222,DF01,5,NA,TBD,0
100444,INSPX090222,DF02,1,NA,TBD,0
100445,INSPX090223,DF03,4,NA,TBD,0
100446,INSPX090223,DF04,1,NA,TBD,0
100447,INSPX090224,DF04,5,NA,TBD,0
100448,INSPX090224,DF01,1,NA,TBD,0
100449,INSPX090225,DF01,6,NA,TBD,0
100450,INSPX090225,DF02,1,NA,TBD,0
100451,INSPX090226,DF03,5,NA,TBD,0
100452,INSPX090226,DF04,1,NA,TBD,0
100453,INSPX090227,DF04,6,NA,TBD,0
100454,INSPX090227,DF01,1,NA,TBD,0
100455,INSPX090228,DF01,1,NA,TBD,0
100456,INSPX090228,DF02,1,NA,TBD,0
100457,INSPX090229,DF03,6,NA,TBD,0
100458,INSPX090229,DF04,1,NA,TBD,0
100459,INSPX090230,DF04,1,NA,TBD,0
100460,INSPX090230,DF01,1,NA,TBD,0
100461,INSPX090231,DF01,2,NA,TBD,0
100462,INSPX090231,DF02,1,NA,TBD,0
100463,INSPX090232,DF03,1,NA,TBD,0
100464,INSPX090232,DF04,1,NA,TBD,0
100465,INSPX090233,DF04,2,NA,TBD,0
100466,INSPX090233,DF01,1,NA,TBD,0
100467,INSPX090234,DF01,3,NA,TBD,0
100468,INSPX090234,DF02,1,NA,TBD,0
100469,INSPX090235,DF03,2,NA,TBD,0
100470,INSPX090235,DF04,1,NA,TBD,0
100471,INSPX090236,DF04,3,NA,TBD,0
100472,INSPX090236,DF01,1,NA,TBD,0
100473,INSPX090237,DF01,4,NA,TBD,0
100474,INSPX090237,DF02,1,NA,TBD,0
100475,INSPX090238,DF03,3,NA,TBD,0
100476,INSPX090238,DF04,1,NA,TBD,0
100477,INSPX090239,DF04,4,NA,TBD,0
100478,INSPX090239,DF01,1,NA,TBD,0
100479,INSPX090240,DF01,5,NA,TBD,0
100480,INSPX090240,DF02,1,NA,TBD,0
100481,INSPX090241,DF03,4,NA,TBD,0
100482,INSPX090241,DF04,1,NA,TBD,0
100483,INSPX090242,DF04,5,NA,TBD,0
100484,INSPX090242,DF01,1,NA,TBD,0
100485,INSPX090243,DF01,6,NA,TBD,0
100486,INSPX090243,DF02,1,NA,TBD,0
100487,INSPX090244,DF03,5,NA,TBD,0
100488,INSPX090244,DF04,1,NA,TBD,0
100489,INSPX090245,DF04,6,NA,TBD,0
100490,INSPX090245,DF01,1,NA,TBD,0
100491,INSPX090246,DF01,1,NA,TBD,0
100492,INSPX090246,DF02,1,NA,TBD,0
100493,INSPX090247,DF03,6,NA,TBD,0
100494,INSPX090247,DF04,1,NA,TBD,0
100495,INSPX090248,DF04,1,NA,TBD,0
100496,INSPX090248,DF01,1,NA,TBD,0
100497,INSPX090249,DF01,2,NA,TBD,0
100498,INSPX090249,DF02,1,NA,TBD,0
100499,INSPX090250,DF03,1,NA,TBD,0
100500,INSPX090250,DF04,1,NA,TBD,0
100501,INSPX090251,DF04,2,NA,TBD,0
100502,INSPX090251,DF01,1,NA,TBD,0
100503,INSPX090252,DF01,3,NA,TBD,0
100504,INSPX090252,DF02,1,NA,TBD,0
100505,INSPX090253,DF03,2,NA,TBD,0
100506,INSPX090253,DF04,1,NA,TBD,0
100507,INSPX090254,DF04,3,NA,TBD,0
100508,INSPX090254,DF01,1,NA,TBD,0
100509,INSPX090255,DF01,4,NA,TBD,0
100510,INSPX090255,DF02,1,NA,TBD,0
100511,INSPX090256,DF03,3,NA,TBD,0
100512,INSPX090256,DF04,1,NA,TBD,0
100513,INSPX090257,DF04,4,NA,TBD,0
100514,INSPX090257,DF01,1,NA,TBD,0
100515,INSPX090258,DF01,5,NA,TBD,0
100516,INSPX090258,DF02,1,NA,TBD,0
100517,INSPX090259,DF03,4,NA,TBD,0
100518,INSPX090259,DF04,1,NA,TBD,0
100519,INSPX090260,DF04,5,NA,TBD,0
100520,INSPX090260,DF01,1,NA,TBD,0
100521,INSPX090261,DF01,6,NA,TBD,0
100522,INSPX090261,DF02,1,NA,TBD,0
100523,INSPX090262,DF03,5,NA,TBD,0
100524,INSPX090262,DF04,1,NA,TBD,0
100525,INSPX090263,DF04,6,NA,TBD,0
100526,INSPX090263,DF01,1,NA,TBD,0
100527,INSPX090264,DF01,1,NA,TBD,0
100528,INSPX090264,DF02,1,NA,TBD,0
100529,INSPX090265,DF03,6,NA,TBD,0
100530,INSPX090265,DF04,1,NA,TBD,0
100531,INSPX090266,DF04,1,NA,TBD,0
100532,INSPX090266,DF01,1,NA,TBD,0
