opr_id,work_order_id,opr_seq,work_center_cd,std_cycle_min,actual_cycle_min,setup_min,wait_min,opr_status_cd
74,WO0025,2,ASM,3.4,3.23,0.0,0.0,CMP
75,WO0025,3,PACK,1.8,1.71,0.0,0.0,CMP
76,WO0026,1,SMT,2.6,2.55,0.0,0.0,CMP
77,WO0026,2,ASM,3.4,3.33,0.0,0.0,CMP
78,WO0026,3,PACK,1.8,1.76,0.0,0.0,CMP
79,WO0027,1,SMT,2.6,2.63,0.0,0.0,CMP
80,WO0027,2,ASM,3.4,3.43,0.0,0.0,CMP
81,WO0027,3,PACK,1.8,1.82,0.0,0.0,CMP
82,WO0028,1,SMT,2.6,2.7,0.0,0.0,CMP
83,WO0028,2,ASM,3.4,3.54,0.0,0.0,CMP
84,WO0028,3,PACK,1.8,1.87,0.0,0.0,CMP
85,WO0029,1,SMT,2.6,2.78,0.0,0.0,CMP
86,WO0029,2,ASM,3.4,3.64,0.0,0.0,CMP
87,WO0029,3,PACK,1.8,1.93,0.0,0.0,CMP
88,WO0030,1,SMT,2.6,2.47,0.0,0.0,CMP
89,WO0030,2,ASM,3.4,3.23,0.0,0.0,CMP
90,WO0030,3,PACK,1.8,1.71,0.0,0.0,CMP
20001,WOX010001,1,SMT,2.6,2.6,0.0,0.0,CMP
20002,WOX010001,2,ASM,3.4,3.4,0.0,0.0,CMP
20003,WOX010001,3,PACK,1.8,1.8,0.0,0.0,CMP
20004,WOX010002,1,SMT,2.6,2.65,0.0,0.0,CMP
20005,WOX010002,2,ASM,3.4,3.47,0.0,0.0,CMP
20006,WOX010002,3,PACK,1.8,1.84,0.0,0.0,CMP
20007,WOX010003,1,SMT,2.6,2.7,0.0,0.0,CMP
20008,WOX010003,2,ASM,3.4,3.54,0.0,0.0,CMP
20009,WOX010003,3,PACK,1.8,1.87,0.0,0.0,CMP
20010,WOX010004,1,SMT,2.6,2.65,0.0,0.0,CMP
20011,WOX010004,2,ASM,3.4,3.47,0.0,0.0,CMP
20012,WOX010004,3,PACK,1.8,1.84,0.0,0.0,CMP
20013,WOX010005,1,SMT,2.6,2.7,0.0,0.0,CMP
20014,WOX010005,2,ASM,3.4,3.54,0.0,0.0,CMP
20015,WOX010005,3,PACK,1.8,1.87,0.0,0.0,CMP
20016,WOX010006,1,SMT,2.6,2.5,0.0,0.0,CMP
20017,WOX010006,2,ASM,3.4,3.26,0.0,0.0,CMP
20018,WOX010006,3,PACK,1.8,1.73,0.0,0.0,CMP
20019,WOX010007,1,SMT,2.6,2.7,0.0,0.0,CMP
20020,WOX010007,2,ASM,3.4,3.54,0.0,0.0,CMP
20021,WOX010007,3,PACK,1.8,1.87,0.0,0.0,CMP
20022,WOX010008,1,SMT,2.6,2.5,0.0,0.0,CMP
20023,WOX010008,2,ASM,3.4,3.26,0.0,0.0,CMP
20024,WOX010008,3,PACK,1.8,1.73,0.0,0.0,CMP
20025,WOX010009,1,SMT,2.6,2.55,0.0,0.0,CMP
20026,WOX010009,2,ASM,3.4,3.33,0.0,0.0,CMP
20027,WOX010009,3,PACK,1.8,1.76,0.0,0.0,CMP
20028,WOX010010,1,SMT,2.6,2.5,0.0,0.0,CMP
20029,WOX010010,2,ASM,3.4,3.26,0.0,0.0,CMP
20030,WOX010010,3,PACK,1.8,1.73,0.0,0.0,CMP
20031,WOX010011,1,SMT,2.6,2.55,0.0,0.0,CMP
20032,WOX010011,2,ASM,3.4,3.33,0.0,0.0,CMP
20033,WOX010011,3,PACK,1.8,1.76,0.0,0.0,CMP
20034,WOX010012,1,SMT,2.6,2.6,0.0,0.0,CMP
20035,WOX010012,2,ASM,3.4,3.4,0.0,0.0,CMP
20036,WOX010012,3,PACK,1.8,1.8,0.0,0.0,CMP
20037,WOX010013,1,SMT,2.6,2.55,0.0,0.0,CMP
20038,WOX010013,2,ASM,3.4,3.33,0.0,0.0,CMP
20039,WOX010013,3,PACK,1.8,1.76,0.0,0.0,CMP
20040,WOX010014,1,SMT,2.6,2.6,0.0,0.0,CMP
20041,WOX010014,2,ASM,3.4,3.4,0.0,0.0,CMP
20042,WOX010014,3,PACK,1.8,1.8,0.0,0.0,CMP
20043,WOX010015,1,SMT,2.6,2.65,0.0,0.0,CMP
20044,WOX010015,2,ASM,3.4,3.47,0.0,0.0,CMP
20045,WOX010015,3,PACK,1.8,1.84,0.0,0.0,CMP
20046,WOX010016,1,SMT,2.6,2.6,0.0,0.0,CMP
20047,WOX010016,2,ASM,3.4,3.4,0.0,0.0,CMP
20048,WOX010016,3,PACK,1.8,1.8,0.0,0.0,CMP
20049,WOX010017,1,SMT,2.6,2.65,0.0,0.0,CMP
20050,WOX010017,2,ASM,3.4,3.47,0.0,0.0,CMP
20051,WOX010017,3,PACK,1.8,1.84,0.0,0.0,CMP
20052,WOX010018,1,SMT,2.6,2.7,0.0,0.0,CMP
20053,WOX010018,2,ASM,3.4,3.54,0.0,0.0,CMP
20054,WOX010018,3,PACK,1.8,1.87,0.0,0.0,CMP
20055,WOX010019,1,SMT,2.6,2.65,0.0,0.0,CMP
20056,WOX010019,2,ASM,3.4,3.47,0.0,0.0,CMP
20057,WOX010019,3,PACK,1.8,1.84,0.0,0.0,CMP
20058,WOX010020,1,SMT,2.6,2.7,0.0,0.0,CMP
20059,WOX010020,2,ASM,3.4,3.54,0.0,0.0,CMP
20060,WOX010020,3,PACK,1.8,1.87,0.0,0.0,CMP
20061,WOX010021,1,SMT,2.6,2.5,0.0,0.0,CMP
20062,WOX010021,2,ASM,3.4,3.26,0.0,0.0,CMP
20063,WOX010021,3,PACK,1.8,1.73,0.0,0.0,CMP
20064,WOX010022,1,SMT,2.6,2.7,0.0,0.0,CMP
20065,WOX010022,2,ASM,3.4,3.54,0.0,0.0,CMP
20066,WOX010022,3,PACK,1.8,1.87,0.0,0.0,CMP
20067,WOX010023,1,SMT,2.6,2.5,0.0,0.0,CMP
20068,WOX010023,2,ASM,3.4,3.26,0.0,0.0,CMP
20069,WOX010023,3,PACK,1.8,1.73,0.0,0.0,CMP
20070,WOX010024,1,SMT,2.6,2.55,0.0,0.0,CMP
20071,WOX010024,2,ASM,3.4,3.33,0.0,0.0,CMP
20072,WOX010024,3,PACK,1.8,1.76,0.0,0.0,CMP
20073,WOX010025,1,SMT,2.6,2.5,0.0,0.0,CMP
20074,WOX010025,2,ASM,3.4,3.26,0.0,0.0,CMP
20075,WOX010025,3,PACK,1.8,1.73,0.0,0.0,CMP
20076,WOX010026,1,SMT,2.6,2.55,0.0,0.0,CMP
20077,WOX010026,2,ASM,3.4,3.33,0.0,0.0,CMP
20078,WOX010026,3,PACK,1.8,1.76,0.0,0.0,CMP
20079,WOX010027,1,SMT,2.6,2.6,0.0,0.0,CMP
20080,WOX010027,2,ASM,3.4,3.4,0.0,0.0,CMP
20081,WOX010027,3,PACK,1.8,1.8,0.0,0.0,CMP
20082,WOX010028,1,SMT,2.6,2.55,0.0,0.0,CMP
20083,WOX010028,2,ASM,3.4,3.33,0.0,0.0,CMP
20084,WOX010028,3,PACK,1.8,1.76,0.0,0.0,CMP
20085,WOX010029,1,SMT,2.6,2.6,0.0,0.0,CMP
20086,WOX010029,2,ASM,3.4,3.4,0.0,0.0,CMP
20087,WOX010029,3,PACK,1.8,1.8,0.0,0.0,CMP
20088,WOX010030,1,SMT,2.6,2.65,0.0,0.0,CMP
20089,WOX010030,2,ASM,3.4,3.47,0.0,0.0,CMP
20090,WOX010030,3,PACK,1.8,1.84,0.0,0.0,CMP
20091,WOX010031,1,SMT,2.6,2.6,0.0,0.0,CMP
20092,WOX010031,2,ASM,3.4,3.4,0.0,0.0,CMP
20093,WOX010031,3,PACK,1.8,1.8,0.0,0.0,CMP
20094,WOX010032,1,SMT,2.6,2.65,0.0,0.0,CMP
20095,WOX010032,2,ASM,3.4,3.47,0.0,0.0,CMP
20096,WOX010032,3,PACK,1.8,1.84,0.0,0.0,CMP
20097,WOX010033,1,SMT,2.6,2.7,0.0,0.0,CMP
20098,WOX010033,2,ASM,3.4,3.54,0.0,0.0,CMP
20099,WOX010033,3,PACK,1.8,1.87,0.0,0.0,CMP
20100,WOX010034,1,SMT,2.6,2.65,0.0,0.0,CMP
20101,WOX010034,2,ASM,3.4,3.47,0.0,0.0,CMP
20102,WOX010034,3,PACK,1.8,1.84,0.0,0.0,CMP
20103,WOX010035,1,SMT,2.6,2.7,0.0,0.0,CMP
20104,WOX010035,2,ASM,3.4,3.54,0.0,0.0,CMP
20105,WOX010035,3,PACK,1.8,1.87,0.0,0.0,CMP
20106,WOX010036,1,SMT,2.6,2.5,0.0,0.0,CMP
20107,WOX010036,2,ASM,3.4,3.26,0.0,0.0,CMP
20108,WOX010036,3,PACK,1.8,1.73,0.0,0.0,CMP
20109,WOX010037,1,SMT,2.6,2.7,0.0,0.0,CMP
20110,WOX010037,2,ASM,3.4,3.54,0.0,0.0,CMP
20111,WOX010037,3,PACK,1.8,1.87,0.0,0.0,CMP
20112,WOX010038,1,SMT,2.6,2.5,0.0,0.0,CMP
20113,WOX010038,2,ASM,3.4,3.26,0.0,0.0,CMP
20114,WOX010038,3,PACK,1.8,1.73,0.0,0.0,CMP
20115,WOX010039,1,SMT,2.6,2.55,0.0,0.0,CMP
20116,WOX010039,2,ASM,3.4,3.33,0.0,0.0,CMP
20117,WOX010039,3,PACK,1.8,1.76,0.0,0.0,CMP
20118,WOX010040,1,SMT,2.6,2.5,0.0,0.0,CMP
20119,WOX010040,2,ASM,3.4,3.26,0.0,0.0,CMP
20120,WOX010040,3,PACK,1.8,1.73,0.0,0.0,CMP
20121,WOX010041,1,SMT,2.6,2.55,0.0,0.0,CMP
20122,WOX010041,2,ASM,3.4,3.33,0.0,0.0,CMP
20123,WOX010041,3,PACK,1.8,1.76,0.0,0.0,CMP
20124,WOX010042,1,SMT,2.6,2.6,0.0,0.0,CMP
20125,WOX010042,2,ASM,3.4,3.4,0.0,0.0,CMP
20126,WOX010042,3,PACK,1.8,1.8,0.0,0.0,CMP
20127,WOX010043,1,SMT,2.6,2.55,0.0,0.0,CMP
20128,WOX010043,2,ASM,3.4,3.33,0.0,0.0,CMP
20129,WOX010043,3,PACK,1.8,1.76,0.0,0.0,CMP
20130,WOX010044,1,SMT,2.6,2.6,0.0,0.0,CMP
20131,WOX010044,2,ASM,3.4,3.4,0.0,0.0,CMP
20132,WOX010044,3,PACK,1.8,1.8,0.0,0.0,CMP
20133,WOX010045,1,SMT,2.6,2.65,0.0,0.0,CMP
20134,WOX010045,2,ASM,3.4,3.47,0.0,0.0,CMP
20135,WOX010045,3,PACK,1.8,1.84,0.0,0.0,CMP
20136,WOX010046,1,SMT,2.6,2.6,0.0,0.0,CMP
20137,WOX010046,2,ASM,3.4,3.4,0.0,0.0,CMP
20138,WOX010046,3,PACK,1.8,1.8,0.0,0.0,CMP
20139,WOX010047,1,SMT,2.6,2.65,0.0,0.0,CMP
20140,WOX010047,2,ASM,3.4,3.47,0.0,0.0,CMP
20141,WOX010047,3,PACK,1.8,1.84,0.0,0.0,CMP
20142,WOX010048,1,SMT,2.6,2.7,0.0,0.0,CMP
20143,WOX010048,2,ASM,3.4,3.54,0.0,0.0,CMP
20144,WOX010048,3,PACK,1.8,1.87,0.0,0.0,CMP
20145,WOX010049,1,SMT,2.6,2.65,0.0,0.0,CMP
20146,WOX010049,2,ASM,3.4,3.47,0.0,0.0,CMP
20147,WOX010049,3,PACK,1.8,1.84,0.0,0.0,CMP
20148,WOX010050,1,SMT,2.6,2.7,0.0,0.0,CMP
20149,WOX010050,2,ASM,3.4,3.54,0.0,0.0,CMP
20150,WOX010050,3,PACK,1.8,1.87,0.0,0.0,CMP
20151,WOX010051,1,SMT,2.6,2.5,0.0,0.0,CMP
20152,WOX010051,2,ASM,3.4,3.26,0.0,0.0,CMP
20153,WOX010051,3,PACK,1.8,1.73,0.0,0.0,CMP
20154,WOX010052,1,SMT,2.6,2.7,0.0,0.0,CMP
20155,WOX010052,2,ASM,3.4,3.54,0.0,0.0,CMP
20156,WOX010052,3,PACK,1.8,1.87,0.0,0.0,CMP
20157,WOX010053,1,SMT,2.6,2.5,0.0,0.0,CMP
20158,WOX010053,2,ASM,3.4,3.26,0.0,0.0,CMP
20159,WOX010053,3,PACK,1.8,1.73,0.0,0.0,CMP
20160,WOX010054,1,SMT,2.6,2.55,0.0,0.0,CMP
20161,WOX010054,2,ASM,3.4,3.33,0.0,0.0,CMP
20162,WOX010054,3,PACK,1.8,1.76,0.0,0.0,CMP
20163,WOX010055,1,SMT,2.6,2.5,0.0,0.0,CMP
20164,WOX010055,2,ASM,3.4,3.26,0.0,0.0,CMP
20165,WOX010055,3,PACK,1.8,1.73,0.0,0.0,CMP
20166,WOX010056,1,SMT,2.6,2.55,0.0,0.0,CMP
20167,WOX010056,2,ASM,3.4,3.33,0.0,0.0,CMP
20168,WOX010056,3,PACK,1.8,1.76,0.0,0.0,CMP
20169,WOX010057,1,SMT,2.6,2.6,0.0,0.0,CMP
20170,WOX010057,2,ASM,3.4,3.4,0.0,0.0,CMP
20171,WOX010057,3,PACK,1.8,1.8,0.0,0.0,CMP
20172,WOX010058,1,SMT,2.6,2.55,0.0,0.0,CMP
20173,WOX010058,2,ASM,3.4,3.33,0.0,0.0,CMP
20174,WOX010058,3,PACK,1.8,1.76,0.0,0.0,CMP
20175,WOX010059,1,SMT,2.6,2.6,0.0,0.0,CMP
20176,WOX010059,2,ASM,3.4,3.4,0.0,0.0,CMP
20177,WOX010059,3,PACK,1.8,1.8,0.0,0.0,CMP
20178,WOX010060,1,SMT,2.6,2.65,0.0,0.0,CMP
20179,WOX010060,2,ASM,3.4,3.47,0.0,0.0,CMP
20180,WOX010060,3,PACK,1.8,1.84,0.0,0.0,CMP
20181,WOX010061,1,SMT,2.6,2.6,0.0,0.0,CMP
20182,WOX010061,2,ASM,3.4,3.4,0.0,0.0,CMP
20183,WOX010061,3,PACK,1.8,1.8,0.0,0.0,CMP
20184,WOX010062,1,SMT,2.6,2.65,0.0,0.0,CMP
20185,WOX010062,2,ASM,3.4,3.47,0.0,0.0,CMP
20186,WOX010062,3,PACK,1.8,1.84,0.0,0.0,CMP
20187,WOX010063,1,SMT,2.6,2.7,0.0,0.0,CMP
20188,WOX010063,2,ASM,3.4,3.54,0.0,0.0,CMP
20189,WOX010063,3,PACK,1.8,1.87,0.0,0.0,CMP
20190,WOX010064,1,SMT,2.6,2.65,0.0,0.0,CMP
20191,WOX010064,2,ASM,3.4,3.47,0.0,0.0,CMP
20192,WOX010064,3,PACK,1.8,1.84,0.0,0.0,CMP
20193,WOX010065,1,SMT,2.6,2.7,0.0,0.0,CMP
20194,WOX010065,2,ASM,3.4,3.54,0.0,0.0,CMP
20195,WOX010065,3,PACK,1.8,1.87,0.0,0.0,CMP
20196,WOX010066,1,SMT,2.6,2.5,0.0,0.0,CMP
20197,WOX010066,2,ASM,3.4,3.26,0.0,0.0,CMP
20198,WOX010066,3,PACK,1.8,1.73,0.0,0.0,CMP
20199,WOX010067,1,SMT,2.6,2.7,0.0,0.0,CMP
20200,WOX010067,2,ASM,3.4,3.54,0.0,0.0,CMP
20201,WOX010067,3,PACK,1.8,1.87,0.0,0.0,CMP
20202,WOX010068,1,SMT,2.6,2.5,0.0,0.0,CMP
20203,WOX010068,2,ASM,3.4,3.26,0.0,0.0,CMP
20204,WOX010068,3,PACK,1.8,1.73,0.0,0.0,CMP
20205,WOX010069,1,SMT,2.6,2.55,0.0,0.0,CMP
20206,WOX010069,2,ASM,3.4,3.33,0.0,0.0,CMP
20207,WOX010069,3,PACK,1.8,1.76,0.0,0.0,CMP
20208,WOX010070,1,SMT,2.6,2.5,0.0,0.0,CMP
20209,WOX010070,2,ASM,3.4,3.26,0.0,0.0,CMP
20210,WOX010070,3,PACK,1.8,1.73,0.0,0.0,CMP
20211,WOX010071,1,SMT,2.6,2.55,0.0,0.0,CMP
20212,WOX010071,2,ASM,3.4,3.33,0.0,0.0,CMP
20213,WOX010071,3,PACK,1.8,1.76,0.0,0.0,CMP
20214,WOX010072,1,SMT,2.6,2.6,0.0,0.0,CMP
20215,WOX010072,2,ASM,3.4,3.4,0.0,0.0,CMP
20216,WOX010072,3,PACK,1.8,1.8,0.0,0.0,CMP
20217,WOX010073,1,SMT,2.6,2.55,0.0,0.0,CMP
20218,WOX010073,2,ASM,3.4,3.33,0.0,0.0,CMP
20219,WOX010073,3,PACK,1.8,1.76,0.0,0.0,CMP
20220,WOX010074,1,SMT,2.6,2.6,0.0,0.0,CMP
20221,WOX010074,2,ASM,3.4,3.4,0.0,0.0,CMP
20222,WOX010074,3,PACK,1.8,1.8,0.0,0.0,CMP
20223,WOX010075,1,SMT,2.6,2.65,0.0,0.0,CMP
20224,WOX010075,2,ASM,3.4,3.47,0.0,0.0,CMP
20225,WOX010075,3,PACK,1.8,1.84,0.0,0.0,CMP
20226,WOX010076,1,SMT,2.6,2.6,0.0,0.0,CMP
20227,WOX010076,2,ASM,3.4,3.4,0.0,0.0,CMP
20228,WOX010076,3,PACK,1.8,1.8,0.0,0.0,CMP
20229,WOX010077,1,SMT,2.6,2.65,0.0,0.0,CMP
20230,WOX010077,2,ASM,3.4,3.47,0.0,0.0,CMP
20231,WOX010077,3,PACK,1.8,1.84,0.0,0.0,CMP
20232,WOX010078,1,SMT,2.6,2.7,0.0,0.0,CMP
20233,WOX010078,2,ASM,3.4,3.54,0.0,0.0,CMP
20234,WOX010078,3,PACK,1.8,1.87,0.0,0.0,CMP
20235,WOX010079,1,SMT,2.6,2.65,0.0,0.0,CMP
20236,WOX010079,2,ASM,3.4,3.47,0.0,0.0,CMP
20237,WOX010079,3,PACK,1.8,1.84,0.0,0.0,CMP
20238,WOX010080,1,SMT,2.6,2.7,0.0,0.0,CMP
20239,WOX010080,2,ASM,3.4,3.54,0.0,0.0,CMP
20240,WOX010080,3,PACK,1.8,1.87,0.0,0.0,CMP
20241,WOX010081,1,SMT,2.6,2.5,0.0,0.0,CMP
20242,WOX010081,2,ASM,3.4,3.26,0.0,0.0,CMP
20243,WOX010081,3,PACK,1.8,1.73,0.0,0.0,CMP
20244,WOX010082,1,SMT,2.6,2.7,0.0,0.0,CMP
20245,WOX010082,2,ASM,3.4,3.54,0.0,0.0,CMP
20246,WOX010082,3,PACK,1.8,1.87,0.0,0.0,CMP
20247,WOX010083,1,SMT,2.6,2.5,0.0,0.0,CMP
20248,WOX010083,2,ASM,3.4,3.26,0.0,0.0,CMP
20249,WOX010083,3,PACK,1.8,1.73,0.0,0.0,CMP
20250,WOX010084,1,SMT,2.6,2.55,0.0,0.0,CMP
20251,WOX010084,2,ASM,3.4,3.33,0.0,0.0,CMP
20252,WOX010084,3,PACK,1.8,1.76,0.0,0.0,CMP
20253,WOX010085,1,SMT,2.6,2.5,0.0,0.0,CMP
20254,WOX010085,2,ASM,3.4,3.26,0.0,0.0,CMP
20255,WOX010085,3,PACK,1.8,1.73,0.0,0.0,CMP
20256,WOX010086,1,SMT,2.6,2.55,0.0,0.0,CMP
20257,WOX010086,2,ASM,3.4,3.33,0.0,0.0,CMP
20258,WOX010086,3,PACK,1.8,1.76,0.0,0.0,CMP
20259,WOX010087,1,SMT,2.6,2.6,0.0,0.0,CMP
20260,WOX010087,2,ASM,3.4,3.4,0.0,0.0,CMP
20261,WOX010087,3,PACK,1.8,1.8,0.0,0.0,CMP
20262,WOX010088,1,SMT,2.6,2.55,0.0,0.0,CMP
20263,WOX010088,2,ASM,3.4,3.33,0.0,0.0,CMP
20264,WOX010088,3,PACK,1.8,1.76,0.0,0.0,CMP
20265,WOX010089,1,SMT,2.6,2.6,0.0,0.0,CMP
20266,WOX010089,2,ASM,3.4,3.4,0.0,0.0,CMP
20267,WOX010089,3,PACK,1.8,1.8,0.0,0.0,CMP
20268,WOX010090,1,SMT,2.6,2.65,0.0,0.0,CMP
20269,WOX010090,2,ASM,3.4,3.47,0.0,0.0,CMP
20270,WOX010090,3,PACK,1.8,1.84,0.0,0.0,CMP
20271,WOX010091,1,SMT,2.6,2.6,0.0,0.0,CMP
20272,WOX010091,2,ASM,3.4,3.4,0.0,0.0,CMP
20273,WOX010091,3,PACK,1.8,1.8,0.0,0.0,CMP
20274,WOX010092,1,SMT,2.6,2.65,0.0,0.0,CMP
20275,WOX010092,2,ASM,3.4,3.47,0.0,0.0,CMP
20276,WOX010092,3,PACK,1.8,1.84,0.0,0.0,CMP
20277,WOX010093,1,SMT,2.6,2.7,0.0,0.0,CMP
20278,WOX010093,2,ASM,3.4,3.54,0.0,0.0,CMP
20279,WOX010093,3,PACK,1.8,1.87,0.0,0.0,CMP
20280,WOX010094,1,SMT,2.6,2.65,0.0,0.0,CMP
20281,WOX010094,2,ASM,3.4,3.47,0.0,0.0,CMP
20282,WOX010094,3,PACK,1.8,1.84,0.0,0.0,CMP
20283,WOX010095,1,SMT,2.6,2.7,0.0,0.0,CMP
20284,WOX010095,2,ASM,3.4,3.54,0.0,0.0,CMP
20285,WOX010095,3,PACK,1.8,1.87,0.0,0.0,CMP
20286,WOX010096,1,SMT,2.6,2.5,0.0,0.0,CMP
20287,WOX010096,2,ASM,3.4,3.26,0.0,0.0,CMP
20288,WOX010096,3,PACK,1.8,1.73,0.0,0.0,CMP
20289,WOX010097,1,SMT,2.6,2.7,0.0,0.0,CMP
20290,WOX010097,2,ASM,3.4,3.54,0.0,0.0,CMP
20291,WOX010097,3,PACK,1.8,1.87,0.0,0.0,CMP
20292,WOX010098,1,SMT,2.6,2.5,0.0,0.0,CMP
20293,WOX010098,2,ASM,3.4,3.26,0.0,0.0,CMP
20294,WOX010098,3,PACK,1.8,1.73,0.0,0.0,CMP
20295,WOX010099,1,SMT,2.6,2.55,0.0,0.0,CMP
20296,WOX010099,2,ASM,3.4,3.33,0.0,0.0,CMP
20297,WOX010099,3,PACK,1.8,1.76,0.0,0.0,CMP
20298,WOX010100,1,SMT,2.6,2.5,0.0,0.0,CMP
20299,WOX010100,2,ASM,3.4,3.26,0.0,0.0,CMP
20300,WOX010100,3,PACK,1.8,1.73,0.0,0.0,CMP
20301,WOX010101,1,SMT,2.6,2.55,0.0,0.0,CMP
20302,WOX010101,2,ASM,3.4,3.33,0.0,0.0,CMP
20303,WOX010101,3,PACK,1.8,1.76,0.0,0.0,CMP
20304,WOX010102,1,SMT,2.6,2.6,0.0,0.0,CMP
20305,WOX010102,2,ASM,3.4,3.4,0.0,0.0,CMP
20306,WOX010102,3,PACK,1.8,1.8,0.0,0.0,CMP
20307,WOX010103,1,SMT,2.6,2.55,0.0,0.0,CMP
20308,WOX010103,2,ASM,3.4,3.33,0.0,0.0,CMP
20309,WOX010103,3,PACK,1.8,1.76,0.0,0.0,CMP
20310,WOX010104,1,SMT,2.6,2.6,0.0,0.0,CMP
20311,WOX010104,2,ASM,3.4,3.4,0.0,0.0,CMP
