inspection_id,work_order_id,supplier_id,material_id,inspection_dt_key,inspected_qty,reject_qty,inspector_nm,inspection_type_cd,lot_no,sample_size_qty
INSPX090092,,SUP_002,MAT_FG_1001,20240131,105,4,QA_TEAM,IQC,LOT,0
INSPX090093,,SUP_003,MAT_FG_1001,20240131,110,5,QA_TEAM,IQC,LOT,0
INSPX090094,,SUP_002,MAT_FG_1002,20240101,120,4,QA_TEAM,IQC,LOT,0
INSPX090095,,SUP_003,MAT_FG_1002,20240101,125,5,QA_TEAM,IQC,LOT,0
INSPX090096,,SUP_004,MAT_FG_1002,20240101,130,6,QA_TEAM,IQC,LOT,0
INSPX090097,,SUP_002,MAT_FG_1002,20240102,120,5,QA_TEAM,IQC,LOT,0
INSPX090098,,SUP_003,MAT_FG_1002,20240102,125,6,QA_TEAM,IQC,LOT,0
INSPX090099,,SUP_004,MAT_FG_1002,20240102,130,7,QA_TEAM,IQC,LOT,0
INSPX090100,,SUP_002,MAT_FG_1002,20240103,120,6,QA_TEAM,IQC,LOT,0
INSPX090101,,SUP_003,MAT_FG_1002,20240103,125,7,QA_TEAM,IQC,LOT,0
INSPX090102,,SUP_004,MAT_FG_1002,20240103,130,2,QA_TEAM,IQC,LOT,0
INSPX090103,,SUP_002,MAT_FG_1002,20240104,120,7,QA_TEAM,IQC,LOT,0
INSPX090104,,SUP_003,MAT_FG_1002,20240104,125,2,QA_TEAM,IQC,LOT,0
INSPX090105,,SUP_004,MAT_FG_1002,20240104,130,3,QA_TEAM,IQC,LOT,0
INSPX090106,,SUP_002,MAT_FG_1002,20240105,120,2,QA_TEAM,IQC,LOT,0
INSPX090107,,SUP_003,MAT_FG_1002,20240105,125,3,QA_TEAM,IQC,LOT,0
INSPX090108,,SUP_004,MAT_FG_1002,20240105,130,4,QA_TEAM,IQC,LOT,0
INSPX090109,,SUP_002,MAT_FG_1002,20240106,120,3,QA_TEAM,IQC,LOT,0
INSPX090110,,SUP_003,MAT_FG_1002,20240106,125,4,QA_TEAM,IQC,LOT,0
INSPX090111,,SUP_004,MAT_FG_1002,20240106,130,5,QA_TEAM,IQC,LOT,0
INSPX090112,,SUP_002,MAT_FG_1002,20240107,120,4,QA_TEAM,IQC,LOT,0
INSPX090113,,SUP_003,MAT_FG_1002,20240107,125,5,QA_TEAM,IQC,LOT,0
INSPX090114,,SUP_004,MAT_FG_1002,20240107,130,6,QA_TEAM,IQC,LOT,0
INSPX090115,,SUP_002,MAT_FG_1002,20240108,120,5,QA_TEAM,IQC,LOT,0
INSPX090116,,SUP_003,MAT_FG_1002,20240108,125,6,QA_TEAM,IQC,LOT,0
INSPX090117,,SUP_004,MAT_FG_1002,20240108,130,7,QA_TEAM,IQC,LOT,0
INSPX090118,,SUP_002,MAT_FG_1002,20240109,120,6,QA_TEAM,IQC,LOT,0
INSPX090119,,SUP_003,MAT_FG_1002,20240109,125,7,QA_TEAM,IQC,LOT,0
INSPX090120,,SUP_004,MAT_FG_1002,20240109,130,2,QA_TEAM,IQC,LOT,0
INSPX090121,,SUP_002,MAT_FG_1002,20240110,120,7,QA_TEAM,IQC,LOT,0
INSPX090122,,SUP_003,MAT_FG_1002,20240110,125,2,QA_TEAM,IQC,LOT,0
INSPX090123,,SUP_004,MAT_FG_1002,20240110,130,3,QA_TEAM,IQC,LOT,0
INSPX090124,,SUP_002,MAT_FG_1002,20240111,120,2,QA_TEAM,IQC,LOT,0
INSPX090125,,SUP_003,MAT_FG_1002,20240111,125,3,QA_TEAM,IQC,LOT,0
INSPX090126,,SUP_004,MAT_FG_1002,20240111,130,4,QA_TEAM,IQC,LOT,0
INSPX090127,,SUP_002,MAT_FG_1002,20240112,120,3,QA_TEAM,IQC,LOT,0
INSPX090128,,SUP_003,MAT_FG_1002,20240112,125,4,QA_TEAM,IQC,LOT,0
INSPX090129,,SUP_004,MAT_FG_1002,20240112,130,5,QA_TEAM,IQC,LOT,0
INSPX090130,,SUP_002,MAT_FG_1002,20240113,120,4,QA_TEAM,IQC,LOT,0
INSPX090131,,SUP_003,MAT_FG_1002,20240113,125,5,QA_TEAM,IQC,LOT,0
INSPX090132,,SUP_004,MAT_FG_1002,20240113,130,6,QA_TEAM,IQC,LOT,0
INSPX090133,,SUP_002,MAT_FG_1002,20240114,120,5,QA_TEAM,IQC,LOT,0
INSPX090134,,SUP_003,MAT_FG_1002,20240114,125,6,QA_TEAM,IQC,LOT,0
INSPX090135,,SUP_004,MAT_FG_1002,20240114,130,7,QA_TEAM,IQC,LOT,0
INSPX090136,,SUP_002,MAT_FG_1002,20240115,120,6,QA_TEAM,IQC,LOT,0
INSPX090137,,SUP_003,MAT_FG_1002,20240115,125,7,QA_TEAM,IQC,LOT,0
INSPX090138,,SUP_004,MAT_FG_1002,20240115,130,2,QA_TEAM,IQC,LOT,0
INSPX090139,,SUP_002,MAT_FG_1002,20240116,120,7,QA_TEAM,IQC,LOT,0
INSPX090140,,SUP_003,MAT_FG_1002,20240116,125,2,QA_TEAM,IQC,LOT,0
INSPX090141,,SUP_004,MAT_FG_1002,20240116,130,3,QA_TEAM,IQC,LOT,0
INSPX090142,,SUP_002,MAT_FG_1002,20240117,120,2,QA_TEAM,IQC,LOT,0
INSPX090143,,SUP_003,MAT_FG_1002,20240117,125,3,QA_TEAM,IQC,LOT,0
INSPX090144,,SUP_004,MAT_FG_1002,20240117,130,4,QA_TEAM,IQC,LOT,0
INSPX090145,,SUP_002,MAT_FG_1002,20240118,120,3,QA_TEAM,IQC,LOT,0
INSPX090146,,SUP_003,MAT_FG_1002,20240118,125,4,QA_TEAM,IQC,LOT,0
INSPX090147,,SUP_004,MAT_FG_1002,20240118,130,5,QA_TEAM,IQC,LOT,0
INSPX090148,,SUP_002,MAT_FG_1002,20240119,120,4,QA_TEAM,IQC,LOT,0
INSPX090149,,SUP_003,MAT_FG_1002,20240119,125,5,QA_TEAM,IQC,LOT,0
INSPX090150,,SUP_004,MAT_FG_1002,20240119,130,6,QA_TEAM,IQC,LOT,0
INSPX090151,,SUP_002,MAT_FG_1002,20240120,120,5,QA_TEAM,IQC,LOT,0
INSPX090152,,SUP_003,MAT_FG_1002,20240120,125,6,QA_TEAM,IQC,LOT,0
INSPX090153,,SUP_004,MAT_FG_1002,20240120,130,7,QA_TEAM,IQC,LOT,0
INSPX090154,,SUP_002,MAT_FG_1002,20240121,120,6,QA_TEAM,IQC,LOT,0
INSPX090155,,SUP_003,MAT_FG_1002,20240121,125,7,QA_TEAM,IQC,LOT,0
INSPX090156,,SUP_004,MAT_FG_1002,20240121,130,2,QA_TEAM,IQC,LOT,0
INSPX090157,,SUP_002,MAT_FG_1002,20240122,120,7,QA_TEAM,IQC,LOT,0
INSPX090158,,SUP_003,MAT_FG_1002,20240122,125,2,QA_TEAM,IQC,LOT,0
INSPX090159,,SUP_004,MAT_FG_1002,20240122,130,3,QA_TEAM,IQC,LOT,0
INSPX090160,,SUP_002,MAT_FG_1002,20240123,120,2,QA_TEAM,IQC,LOT,0
INSPX090161,,SUP_003,MAT_FG_1002,20240123,125,3,QA_TEAM,IQC,LOT,0
INSPX090162,,SUP_004,MAT_FG_1002,20240123,130,4,QA_TEAM,IQC,LOT,0
INSPX090163,,SUP_002,MAT_FG_1002,20240124,120,3,QA_TEAM,IQC,LOT,0
INSPX090164,,SUP_003,MAT_FG_1002,20240124,125,4,QA_TEAM,IQC,LOT,0
INSPX090165,,SUP_004,MAT_FG_1002,20240124,130,5,QA_TEAM,IQC,LOT,0
INSPX090166,,SUP_002,MAT_FG_1002,20240125,120,4,QA_TEAM,IQC,LOT,0
INSPX090167,,SUP_003,MAT_FG_1002,20240125,125,5,QA_TEAM,IQC,LOT,0
INSPX090168,,SUP_004,MAT_FG_1002,20240125,130,6,QA_TEAM,IQC,LOT,0
INSPX090169,,SUP_002,MAT_FG_1002,20240126,120,5,QA_TEAM,IQC,LOT,0
INSPX090170,,SUP_003,MAT_FG_1002,20240126,125,6,QA_TEAM,IQC,LOT,0
INSPX090171,,SUP_004,MAT_FG_1002,20240126,130,7,QA_TEAM,IQC,LOT,0
INSPX090172,,SUP_002,MAT_FG_1002,20240127,120,6,QA_TEAM,IQC,LOT,0
INSPX090173,,SUP_003,MAT_FG_1002,20240127,125,7,QA_TEAM,IQC,LOT,0
INSPX090174,,SUP_004,MAT_FG_1002,20240127,130,2,QA_TEAM,IQC,LOT,0
INSPX090175,,SUP_002,MAT_FG_1002,20240128,120,7,QA_TEAM,IQC,LOT,0
INSPX090176,,SUP_003,MAT_FG_1002,20240128,125,2,QA_TEAM,IQC,LOT,0
INSPX090177,,SUP_004,MAT_FG_1002,20240128,130,3,QA_TEAM,IQC,LOT,0
INSPX090178,,SUP_002,MAT_FG_1002,20240129,120,2,QA_TEAM,IQC,LOT,0
INSPX090179,,SUP_003,MAT_FG_1002,20240129,125,3,QA_TEAM,IQC,LOT,0
INSPX090180,,SUP_004,MAT_FG_1002,20240129,130,4,QA_TEAM,IQC,LOT,0
INSPX090181,,SUP_002,MAT_FG_1002,20240130,120,3,QA_TEAM,IQC,LOT,0
INSPX090182,,SUP_003,MAT_FG_1002,20240130,125,4,QA_TEAM,IQC,LOT,0
INSPX090183,,SUP_004,MAT_FG_1002,20240130,130,5,QA_TEAM,IQC,LOT,0
INSPX090184,,SUP_002,MAT_FG_1002,20240131,120,4,QA_TEAM,IQC,LOT,0
INSPX090185,,SUP_003,MAT_FG_1002,20240131,125,5,QA_TEAM,IQC,LOT,0
INSPX090186,,SUP_004,MAT_FG_1002,20240131,130,6,QA_TEAM,IQC,LOT,0
INSPX090187,,SUP_003,MAT_FG_1003,20240101,140,5,QA_TEAM,IQC,LOT,0
INSPX090188,,SUP_004,MAT_FG_1003,20240101,145,6,QA_TEAM,IQC,LOT,0
INSPX090189,,SUP_005,MAT_FG_1003,20240101,150,7,QA_TEAM,IQC,LOT,0
INSPX090190,,SUP_003,MAT_FG_1003,20240102,140,6,QA_TEAM,IQC,LOT,0
INSPX090191,,SUP_004,MAT_FG_1003,20240102,145,7,QA_TEAM,IQC,LOT,0
INSPX090192,,SUP_005,MAT_FG_1003,20240102,150,2,QA_TEAM,IQC,LOT,0
INSPX090193,,SUP_003,MAT_FG_1003,20240103,140,7,QA_TEAM,IQC,LOT,0
INSPX090194,,SUP_004,MAT_FG_1003,20240103,145,2,QA_TEAM,IQC,LOT,0
INSPX090195,,SUP_005,MAT_FG_1003,20240103,150,3,QA_TEAM,IQC,LOT,0
INSPX090196,,SUP_003,MAT_FG_1003,20240104,140,2,QA_TEAM,IQC,LOT,0
INSPX090197,,SUP_004,MAT_FG_1003,20240104,145,3,QA_TEAM,IQC,LOT,0
INSPX090198,,SUP_005,MAT_FG_1003,20240104,150,4,QA_TEAM,IQC,LOT,0
INSPX090199,,SUP_003,MAT_FG_1003,20240105,140,3,QA_TEAM,IQC,LOT,0
INSPX090200,,SUP_004,MAT_FG_1003,20240105,145,4,QA_TEAM,IQC,LOT,0
INSPX090201,,SUP_005,MAT_FG_1003,20240105,150,5,QA_TEAM,IQC,LOT,0
INSPX090202,,SUP_003,MAT_FG_1003,20240106,140,4,QA_TEAM,IQC,LOT,0
INSPX090203,,SUP_004,MAT_FG_1003,20240106,145,5,QA_TEAM,IQC,LOT,0
INSPX090204,,SUP_005,MAT_FG_1003,20240106,150,6,QA_TEAM,IQC,LOT,0
INSPX090205,,SUP_003,MAT_FG_1003,20240107,140,5,QA_TEAM,IQC,LOT,0
INSPX090206,,SUP_004,MAT_FG_1003,20240107,145,6,QA_TEAM,IQC,LOT,0
INSPX090207,,SUP_005,MAT_FG_1003,20240107,150,7,QA_TEAM,IQC,LOT,0
INSPX090208,,SUP_003,MAT_FG_1003,20240108,140,6,QA_TEAM,IQC,LOT,0
INSPX090209,,SUP_004,MAT_FG_1003,20240108,145,7,QA_TEAM,IQC,LOT,0
INSPX090210,,SUP_005,MAT_FG_1003,20240108,150,2,QA_TEAM,IQC,LOT,0
INSPX090211,,SUP_003,MAT_FG_1003,20240109,140,7,QA_TEAM,IQC,LOT,0
INSPX090212,,SUP_004,MAT_FG_1003,20240109,145,2,QA_TEAM,IQC,LOT,0
INSPX090213,,SUP_005,MAT_FG_1003,20240109,150,3,QA_TEAM,IQC,LOT,0
INSPX090214,,SUP_003,MAT_FG_1003,20240110,140,2,QA_TEAM,IQC,LOT,0
INSPX090215,,SUP_004,MAT_FG_1003,20240110,145,3,QA_TEAM,IQC,LOT,0
INSPX090216,,SUP_005,MAT_FG_1003,20240110,150,4,QA_TEAM,IQC,LOT,0
INSPX090217,,SUP_003,MAT_FG_1003,20240111,140,3,QA_TEAM,IQC,LOT,0
INSPX090218,,SUP_004,MAT_FG_1003,20240111,145,4,QA_TEAM,IQC,LOT,0
INSPX090219,,SUP_005,MAT_FG_1003,20240111,150,5,QA_TEAM,IQC,LOT,0
INSPX090220,,SUP_003,MAT_FG_1003,20240112,140,4,QA_TEAM,IQC,LOT,0
INSPX090221,,SUP_004,MAT_FG_1003,20240112,145,5,QA_TEAM,IQC,LOT,0
INSPX090222,,SUP_005,MAT_FG_1003,20240112,150,6,QA_TEAM,IQC,LOT,0
INSPX090223,,SUP_003,MAT_FG_1003,20240113,140,5,QA_TEAM,IQC,LOT,0
INSPX090224,,SUP_004,MAT_FG_1003,20240113,145,6,QA_TEAM,IQC,LOT,0
INSPX090225,,SUP_005,MAT_FG_1003,20240113,150,7,QA_TEAM,IQC,LOT,0
INSPX090226,,SUP_003,MAT_FG_1003,20240114,140,6,QA_TEAM,IQC,LOT,0
INSPX090227,,SUP_004,MAT_FG_1003,20240114,145,7,QA_TEAM,IQC,LOT,0
INSPX090228,,SUP_005,MAT_FG_1003,20240114,150,2,QA_TEAM,IQC,LOT,0
INSPX090229,,SUP_003,MAT_FG_1003,20240115,140,7,QA_TEAM,IQC,LOT,0
INSPX090230,,SUP_004,MAT_FG_1003,20240115,145,2,QA_TEAM,IQC,LOT,0
INSPX090231,,SUP_005,MAT_FG_1003,20240115,150,3,QA_TEAM,IQC,LOT,0
INSPX090232,,SUP_003,MAT_FG_1003,20240116,140,2,QA_TEAM,IQC,LOT,0
INSPX090233,,SUP_004,MAT_FG_1003,20240116,145,3,QA_TEAM,IQC,LOT,0
INSPX090234,,SUP_005,MAT_FG_1003,20240116,150,4,QA_TEAM,IQC,LOT,0
INSPX090235,,SUP_003,MAT_FG_1003,20240117,140,3,QA_TEAM,IQC,LOT,0
INSPX090236,,SUP_004,MAT_FG_1003,20240117,145,4,QA_TEAM,IQC,LOT,0
INSPX090237,,SUP_005,MAT_FG_1003,20240117,150,5,QA_TEAM,IQC,LOT,0
INSPX090238,,SUP_003,MAT_FG_1003,20240118,140,4,QA_TEAM,IQC,LOT,0
INSPX090239,,SUP_004,MAT_FG_1003,20240118,145,5,QA_TEAM,IQC,LOT,0
INSPX090240,,SUP_005,MAT_FG_1003,20240118,150,6,QA_TEAM,IQC,LOT,0
INSPX090241,,SUP_003,MAT_FG_1003,20240119,140,5,QA_TEAM,IQC,LOT,0
INSPX090242,,SUP_004,MAT_FG_1003,20240119,145,6,QA_TEAM,IQC,LOT,0
INSPX090243,,SUP_005,MAT_FG_1003,20240119,150,7,QA_TEAM,IQC,LOT,0
INSPX090244,,SUP_003,MAT_FG_1003,20240120,140,6,QA_TEAM,IQC,LOT,0
INSPX090245,,SUP_004,MAT_FG_1003,20240120,145,7,QA_TEAM,IQC,LOT,0
INSPX090246,,SUP_005,MAT_FG_1003,20240120,150,2,QA_TEAM,IQC,LOT,0
INSPX090247,,SUP_003,MAT_FG_1003,20240121,140,7,QA_TEAM,IQC,LOT,0
INSPX090248,,SUP_004,MAT_FG_1003,20240121,145,2,QA_TEAM,IQC,LOT,0
INSPX090249,,SUP_005,MAT_FG_1003,20240121,150,3,QA_TEAM,IQC,LOT,0
INSPX090250,,SUP_003,MAT_FG_1003,20240122,140,2,QA_TEAM,IQC,LOT,0
INSPX090251,,SUP_004,MAT_FG_1003,20240122,145,3,QA_TEAM,IQC,LOT,0
INSPX090252,,SUP_005,MAT_FG_1003,20240122,150,4,QA_TEAM,IQC,LOT,0
INSPX090253,,SUP_003,MAT_FG_1003,20240123,140,3,QA_TEAM,IQC,LOT,0
INSPX090254,,SUP_004,MAT_FG_1003,20240123,145,4,QA_TEAM,IQC,LOT,0
INSPX090255,,SUP_005,MAT_FG_1003,20240123,150,5,QA_TEAM,IQC,LOT,0
INSPX090256,,SUP_003,MAT_FG_1003,20240124,140,4,QA_TEAM,IQC,LOT,0
INSPX090257,,SUP_004,MAT_FG_1003,20240124,145,5,QA_TEAM,IQC,LOT,0
INSPX090258,,SUP_005,MAT_FG_1003,20240124,150,6,QA_TEAM,IQC,LOT,0
INSPX090259,,SUP_003,MAT_FG_1003,20240125,140,5,QA_TEAM,IQC,LOT,0
INSPX090260,,SUP_004,MAT_FG_1003,20240125,145,6,QA_TEAM,IQC,LOT,0
INSPX090261,,SUP_005,MAT_FG_1003,20240125,150,7,QA_TEAM,IQC,LOT,0
INSPX090262,,SUP_003,MAT_FG_1003,20240126,140,6,QA_TEAM,IQC,LOT,0
INSPX090263,,SUP_004,MAT_FG_1003,20240126,145,7,QA_TEAM,IQC,LOT,0
INSPX090264,,SUP_005,MAT_FG_1003,20240126,150,2,QA_TEAM,IQC,LOT,0
INSPX090265,,SUP_003,MAT_FG_1003,20240127,140,7,QA_TEAM,IQC,LOT,0
