sales_order_id,customer_id,order_type_cd,sales_order_status_cd,order_date_key,req_delv_date_key,plant_id,sales_org_cd,currency_cd,biz_unit_cd,sales_channel_cd,incoterm_cd,created_by
SO0041,CUS_005,EXP,SHP,20250310,20250317,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SO0042,CUS_005,RPL,SHP,20250311,20250318,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SO0043,CUS_006,RPL,SHP,20250311,20250318,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SO0044,CUS_006,STD,CNL,20250312,20250319,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SO0045,CUS_007,STD,SHP,20250312,20250319,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SO0046,CUS_007,EXP,SHP,20250313,20250320,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SO0047,CUS_008,EXP,SHP,20250313,20250320,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SO0048,CUS_008,RPL,SHP,20250314,20250321,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SO0049,CUS_001,RPL,REL,20250406,20250413,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SO0050,CUS_001,STD,REL,20250407,20250414,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SO0051,CUS_002,STD,REL,20250407,20250414,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SO0052,CUS_002,EXP,REL,20250408,20250415,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SO0053,CUS_003,EXP,REL,20250408,20250415,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SO0054,CUS_003,RPL,REL,20250409,20250416,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SO0055,CUS_004,RPL,CNL,20250409,20250416,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SO0056,CUS_004,STD,REL,20250410,20250417,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SO0057,CUS_005,STD,REL,20250410,20250417,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SO0058,CUS_005,EXP,REL,20250411,20250418,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SO0059,CUS_006,EXP,REL,20250411,20250418,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SO0060,CUS_006,RPL,REL,20250412,20250419,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SO0061,CUS_007,RPL,REL,20250412,20250419,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SO0062,CUS_007,STD,REL,20250413,20250420,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SO0063,CUS_008,STD,REL,20250413,20250420,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SO0064,CUS_008,EXP,REL,20250414,20250421,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010001,CUS_001,RPL,CNL,20240101,20240106,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010002,CUS_001,EXP,REL,20240102,20240107,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010003,CUS_001,STD,REL,20240103,20240108,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010004,CUS_001,RPL,SHP,20240104,20240109,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010005,CUS_001,EXP,REL,20240105,20240110,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010006,CUS_001,STD,REL,20240106,20240111,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010007,CUS_001,RPL,SHP,20240107,20240112,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010008,CUS_001,EXP,REL,20240108,20240113,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010009,CUS_001,STD,REL,20240109,20240114,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010010,CUS_001,RPL,SHP,20240110,20240115,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010011,CUS_001,EXP,REL,20240111,20240116,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010012,CUS_001,STD,REL,20240112,20240117,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010013,CUS_001,RPL,SHP,20240113,20240118,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010014,CUS_001,EXP,REL,20240114,20240119,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010015,CUS_001,STD,REL,20240115,20240120,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010016,CUS_001,RPL,SHP,20240116,20240121,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010017,CUS_001,EXP,REL,20240117,20240122,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010018,CUS_001,STD,REL,20240118,20240123,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010019,CUS_001,RPL,SHP,20240119,20240124,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010020,CUS_001,EXP,CNL,20240120,20240125,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010021,CUS_001,STD,REL,20240121,20240126,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010022,CUS_001,RPL,SHP,20240122,20240127,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010023,CUS_001,EXP,REL,20240123,20240128,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010024,CUS_001,STD,REL,20240124,20240129,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010025,CUS_001,RPL,SHP,20240125,20240130,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010026,CUS_001,EXP,REL,20240126,20240131,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010027,CUS_001,STD,REL,20240127,20240131,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010028,CUS_001,RPL,SHP,20240128,20240131,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010029,CUS_001,EXP,REL,20240129,20240131,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010030,CUS_001,STD,REL,20240130,20240131,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010031,CUS_001,RPL,SHP,20240131,20240131,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010032,CUS_001,EXP,REL,20240101,20240106,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010033,CUS_001,STD,REL,20240102,20240107,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010034,CUS_001,RPL,SHP,20240103,20240108,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010035,CUS_001,EXP,REL,20240104,20240109,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010036,CUS_001,STD,REL,20240105,20240110,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010037,CUS_001,RPL,SHP,20240106,20240111,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010038,CUS_001,EXP,REL,20240107,20240112,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010039,CUS_001,STD,CNL,20240108,20240113,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010040,CUS_001,RPL,SHP,20240109,20240114,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010041,CUS_001,EXP,REL,20240110,20240115,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010042,CUS_001,STD,REL,20240111,20240116,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010043,CUS_001,RPL,SHP,20240112,20240117,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010044,CUS_001,EXP,REL,20240113,20240118,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010045,CUS_001,STD,REL,20240114,20240119,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010046,CUS_001,RPL,SHP,20240115,20240120,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010047,CUS_001,EXP,REL,20240116,20240121,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010048,CUS_001,STD,REL,20240117,20240122,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010049,CUS_001,RPL,SHP,20240118,20240123,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010050,CUS_001,EXP,REL,20240119,20240124,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010051,CUS_001,STD,REL,20240120,20240125,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010052,CUS_001,RPL,SHP,20240121,20240126,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010053,CUS_001,EXP,REL,20240122,20240127,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010054,CUS_001,STD,REL,20240123,20240128,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010055,CUS_001,RPL,SHP,20240124,20240129,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010056,CUS_001,EXP,REL,20240125,20240130,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010057,CUS_001,STD,REL,20240126,20240131,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010058,CUS_001,RPL,CNL,20240127,20240131,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010059,CUS_001,EXP,REL,20240128,20240131,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010060,CUS_001,STD,REL,20240129,20240131,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010061,CUS_001,RPL,SHP,20240130,20240131,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010062,CUS_001,EXP,REL,20240131,20240131,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010063,CUS_001,STD,REL,20240101,20240106,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010064,CUS_001,RPL,SHP,20240102,20240107,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010065,CUS_001,EXP,REL,20240103,20240108,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010066,CUS_001,STD,REL,20240104,20240109,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010067,CUS_001,RPL,SHP,20240105,20240110,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010068,CUS_001,EXP,REL,20240106,20240111,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010069,CUS_001,STD,REL,20240107,20240112,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010070,CUS_001,RPL,SHP,20240108,20240113,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010071,CUS_001,EXP,REL,20240109,20240114,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010072,CUS_001,STD,REL,20240110,20240115,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010073,CUS_001,RPL,SHP,20240111,20240116,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010074,CUS_001,EXP,REL,20240112,20240117,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010075,CUS_001,STD,REL,20240113,20240118,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010076,CUS_001,RPL,SHP,20240114,20240119,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010077,CUS_001,EXP,CNL,20240115,20240120,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010078,CUS_001,STD,REL,20240116,20240121,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010079,CUS_001,RPL,SHP,20240117,20240122,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010080,CUS_001,EXP,REL,20240118,20240123,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010081,CUS_002,EXP,CNL,20240101,20240106,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010082,CUS_002,STD,REL,20240102,20240107,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010083,CUS_002,RPL,REL,20240103,20240108,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010084,CUS_002,EXP,SHP,20240104,20240109,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010085,CUS_002,STD,REL,20240105,20240110,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010086,CUS_002,RPL,REL,20240106,20240111,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010087,CUS_002,EXP,SHP,20240107,20240112,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010088,CUS_002,STD,REL,20240108,20240113,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010089,CUS_002,RPL,REL,20240109,20240114,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010090,CUS_002,EXP,SHP,20240110,20240115,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010091,CUS_002,STD,REL,20240111,20240116,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010092,CUS_002,RPL,REL,20240112,20240117,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010093,CUS_002,EXP,SHP,20240113,20240118,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010094,CUS_002,STD,REL,20240114,20240119,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010095,CUS_002,RPL,REL,20240115,20240120,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010096,CUS_002,EXP,SHP,20240116,20240121,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010097,CUS_002,STD,REL,20240117,20240122,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010098,CUS_002,RPL,REL,20240118,20240123,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010099,CUS_002,EXP,SHP,20240119,20240124,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010100,CUS_002,STD,CNL,20240120,20240125,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010101,CUS_002,RPL,REL,20240121,20240126,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010102,CUS_002,EXP,SHP,20240122,20240127,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010103,CUS_002,STD,REL,20240123,20240128,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010104,CUS_002,RPL,REL,20240124,20240129,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010105,CUS_002,EXP,SHP,20240125,20240130,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010106,CUS_002,STD,REL,20240126,20240131,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010107,CUS_002,RPL,REL,20240127,20240131,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010108,CUS_002,EXP,SHP,20240128,20240131,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010109,CUS_002,STD,REL,20240129,20240131,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010110,CUS_002,RPL,REL,20240130,20240131,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010111,CUS_002,EXP,SHP,20240131,20240131,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010112,CUS_002,STD,REL,20240101,20240106,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010113,CUS_002,RPL,REL,20240102,20240107,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010114,CUS_002,EXP,SHP,20240103,20240108,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010115,CUS_002,STD,REL,20240104,20240109,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010116,CUS_002,RPL,REL,20240105,20240110,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010117,CUS_002,EXP,SHP,20240106,20240111,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010118,CUS_002,STD,REL,20240107,20240112,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010119,CUS_002,RPL,CNL,20240108,20240113,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010120,CUS_002,EXP,SHP,20240109,20240114,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010121,CUS_002,STD,REL,20240110,20240115,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010122,CUS_002,RPL,REL,20240111,20240116,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010123,CUS_002,EXP,SHP,20240112,20240117,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010124,CUS_002,STD,REL,20240113,20240118,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010125,CUS_002,RPL,REL,20240114,20240119,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010126,CUS_002,EXP,SHP,20240115,20240120,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010127,CUS_002,STD,REL,20240116,20240121,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010128,CUS_002,RPL,REL,20240117,20240122,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010129,CUS_002,EXP,SHP,20240118,20240123,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010130,CUS_002,STD,REL,20240119,20240124,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010131,CUS_002,RPL,REL,20240120,20240125,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010132,CUS_002,EXP,SHP,20240121,20240126,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010133,CUS_002,STD,REL,20240122,20240127,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010134,CUS_002,RPL,REL,20240123,20240128,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010135,CUS_002,EXP,SHP,20240124,20240129,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010136,CUS_002,STD,REL,20240125,20240130,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010137,CUS_002,RPL,REL,20240126,20240131,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010138,CUS_002,EXP,CNL,20240127,20240131,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010139,CUS_002,STD,REL,20240128,20240131,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010140,CUS_002,RPL,REL,20240129,20240131,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010141,CUS_002,EXP,SHP,20240130,20240131,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010142,CUS_002,STD,REL,20240131,20240131,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010143,CUS_002,RPL,REL,20240101,20240106,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010144,CUS_002,EXP,SHP,20240102,20240107,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010145,CUS_002,STD,REL,20240103,20240108,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010146,CUS_002,RPL,REL,20240104,20240109,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010147,CUS_002,EXP,SHP,20240105,20240110,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010148,CUS_002,STD,REL,20240106,20240111,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010149,CUS_002,RPL,REL,20240107,20240112,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010150,CUS_002,EXP,SHP,20240108,20240113,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010151,CUS_002,STD,REL,20240109,20240114,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010152,CUS_002,RPL,REL,20240110,20240115,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010153,CUS_002,EXP,SHP,20240111,20240116,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010154,CUS_002,STD,REL,20240112,20240117,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010155,CUS_002,RPL,REL,20240113,20240118,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010156,CUS_002,EXP,SHP,20240114,20240119,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010157,CUS_002,STD,CNL,20240115,20240120,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010158,CUS_002,RPL,REL,20240116,20240121,PLT_SOUTH,CN01,CNY,BU01,DIRECT,DAP,ERP
SOX010159,CUS_002,EXP,SHP,20240117,20240122,PLT_EAST,CN01,CNY,BU01,DIRECT,DAP,ERP
