po_line_id,po_id,material_id,po_qty,recv_qty,unit_price_amt,tax_amt,discount_amt,line_eta_dt_key
POLX030033,POX020017,MAT_RM_2008,96,96,20.0,0.0,0.0,20250101
POLX030034,POX020017,MAT_RM_2009,106,106,21.0,0.0,0.0,20250101
POLX030035,POX020018,MAT_RM_2009,97,96,20.0,0.0,0.0,20250101
POLX030036,POX020018,MAT_RM_2010,107,106,21.0,0.0,0.0,20250101
POLX030037,POX020019,MAT_RM_2010,98,98,20.0,0.0,0.0,20250101
POLX030038,POX020019,MAT_RM_2001,108,108,21.0,0.0,0.0,20250101
POLX030039,POX020020,MAT_RM_2001,99,99,20.0,0.0,0.0,20250101
POLX030040,POX020020,MAT_RM_2002,109,109,21.0,0.0,0.0,20250101
POLX030041,POX020021,MAT_RM_2002,100,100,20.0,0.0,0.0,20250101
POLX030042,POX020021,MAT_RM_2003,110,110,21.0,0.0,0.0,20250101
POLX030043,POX020022,MAT_RM_2003,101,101,20.0,0.0,0.0,20250101
POLX030044,POX020022,MAT_RM_2004,111,111,21.0,0.0,0.0,20250101
POLX030045,POX020023,MAT_RM_2004,102,102,20.0,0.0,0.0,20250101
POLX030046,POX020023,MAT_RM_2005,112,112,21.0,0.0,0.0,20250101
POLX030047,POX020024,MAT_RM_2005,103,103,20.0,0.0,0.0,20250101
POLX030048,POX020024,MAT_RM_2006,113,113,21.0,0.0,0.0,20250101
POLX030049,POX020025,MAT_RM_2006,104,104,20.0,0.0,0.0,20250101
POLX030050,POX020025,MAT_RM_2007,114,114,21.0,0.0,0.0,20250101
POLX030051,POX020026,MAT_RM_2007,105,105,20.0,0.0,0.0,20250101
POLX030052,POX020026,MAT_RM_2008,115,115,21.0,0.0,0.0,20250101
POLX030053,POX020027,MAT_RM_2008,106,106,20.0,0.0,0.0,20250101
POLX030054,POX020027,MAT_RM_2009,116,116,21.0,0.0,0.0,20250101
POLX030055,POX020028,MAT_RM_2009,107,107,20.0,0.0,0.0,20250101
POLX030056,POX020028,MAT_RM_2010,117,117,21.0,0.0,0.0,20250101
POLX030057,POX020029,MAT_RM_2010,108,108,20.0,0.0,0.0,20250101
POLX030058,POX020029,MAT_RM_2001,118,118,21.0,0.0,0.0,20250101
POLX030059,POX020030,MAT_RM_2001,109,109,20.0,0.0,0.0,20250101
POLX030060,POX020030,MAT_RM_2002,119,119,21.0,0.0,0.0,20250101
POLX030061,POX020031,MAT_RM_2002,110,110,20.0,0.0,0.0,20250101
POLX030062,POX020031,MAT_RM_2003,120,120,21.0,0.0,0.0,20250101
POLX030063,POX020032,MAT_RM_2003,111,111,20.0,0.0,0.0,20250101
POLX030064,POX020032,MAT_RM_2004,121,121,21.0,0.0,0.0,20250101
POLX030065,POX020033,MAT_RM_2004,112,112,20.0,0.0,0.0,20250101
POLX030066,POX020033,MAT_RM_2005,122,122,21.0,0.0,0.0,20250101
POLX030067,POX020034,MAT_RM_2005,113,113,20.0,0.0,0.0,20250101
POLX030068,POX020034,MAT_RM_2006,123,123,21.0,0.0,0.0,20250101
POLX030069,POX020035,MAT_RM_2006,114,113,20.0,0.0,0.0,20250101
POLX030070,POX020035,MAT_RM_2007,124,123,21.0,0.0,0.0,20250101
POLX030071,POX020036,MAT_RM_2007,115,115,20.0,0.0,0.0,20250101
POLX030072,POX020036,MAT_RM_2008,125,125,21.0,0.0,0.0,20250101
POLX030073,POX020037,MAT_RM_2008,116,116,20.0,0.0,0.0,20250101
POLX030074,POX020037,MAT_RM_2009,126,126,21.0,0.0,0.0,20250101
POLX030075,POX020038,MAT_RM_2009,117,117,20.0,0.0,0.0,20250101
POLX030076,POX020038,MAT_RM_2010,127,127,21.0,0.0,0.0,20250101
POLX030077,POX020039,MAT_RM_2010,118,118,20.0,0.0,0.0,20250101
POLX030078,POX020039,MAT_RM_2001,128,128,21.0,0.0,0.0,20250101
POLX030079,POX020040,MAT_RM_2001,119,119,20.0,0.0,0.0,20250101
POLX030080,POX020040,MAT_RM_2002,129,129,21.0,0.0,0.0,20250101
POLX030081,POX020041,MAT_RM_2002,80,80,20.0,0.0,0.0,20250101
POLX030082,POX020041,MAT_RM_2003,90,90,21.0,0.0,0.0,20250101
POLX030083,POX020042,MAT_RM_2003,81,81,20.0,0.0,0.0,20250101
POLX030084,POX020042,MAT_RM_2004,91,91,21.0,0.0,0.0,20250101
POLX030085,POX020043,MAT_RM_2004,82,82,20.0,0.0,0.0,20250101
POLX030086,POX020043,MAT_RM_2005,92,92,21.0,0.0,0.0,20250101
POLX030087,POX020044,MAT_RM_2005,83,83,20.0,0.0,0.0,20250101
POLX030088,POX020044,MAT_RM_2006,93,93,21.0,0.0,0.0,20250101
POLX030089,POX020045,MAT_RM_2006,84,84,20.0,0.0,0.0,20250101
POLX030090,POX020045,MAT_RM_2007,94,94,21.0,0.0,0.0,20250101
POLX030091,POX020046,MAT_RM_2007,85,85,20.0,0.0,0.0,20250101
POLX030092,POX020046,MAT_RM_2008,95,95,21.0,0.0,0.0,20250101
POLX030093,POX020047,MAT_RM_2008,86,86,20.0,0.0,0.0,20250101
POLX030094,POX020047,MAT_RM_2009,96,96,21.0,0.0,0.0,20250101
POLX030095,POX020048,MAT_RM_2009,87,87,20.0,0.0,0.0,20250101
POLX030096,POX020048,MAT_RM_2010,97,97,21.0,0.0,0.0,20250101
POLX030097,POX020049,MAT_RM_2010,88,88,20.0,0.0,0.0,20250101
POLX030098,POX020049,MAT_RM_2001,98,98,21.0,0.0,0.0,20250101
POLX030099,POX020050,MAT_RM_2001,89,89,20.0,0.0,0.0,20250101
POLX030100,POX020050,MAT_RM_2002,99,99,21.0,0.0,0.0,20250101
POLX030101,POX020051,MAT_RM_2002,90,90,20.0,0.0,0.0,20250101
POLX030102,POX020051,MAT_RM_2003,100,100,21.0,0.0,0.0,20250101
POLX030103,POX020052,MAT_RM_2003,91,90,20.0,0.0,0.0,20250101
POLX030104,POX020052,MAT_RM_2004,101,100,21.0,0.0,0.0,20250101
POLX030105,POX020053,MAT_RM_2004,92,92,20.0,0.0,0.0,20250101
POLX030106,POX020053,MAT_RM_2005,102,102,21.0,0.0,0.0,20250101
POLX030107,POX020054,MAT_RM_2005,93,93,20.0,0.0,0.0,20250101
POLX030108,POX020054,MAT_RM_2006,103,103,21.0,0.0,0.0,20250101
POLX030109,POX020055,MAT_RM_2006,94,94,20.0,0.0,0.0,20250101
POLX030110,POX020055,MAT_RM_2007,104,104,21.0,0.0,0.0,20250101
POLX030111,POX020056,MAT_RM_2007,95,95,20.0,0.0,0.0,20250101
POLX030112,POX020056,MAT_RM_2008,105,105,21.0,0.0,0.0,20250101
POLX030113,POX020057,MAT_RM_2008,96,96,20.0,0.0,0.0,20250101
POLX030114,POX020057,MAT_RM_2009,106,106,21.0,0.0,0.0,20250101
POLX030115,POX020058,MAT_RM_2009,97,97,20.0,0.0,0.0,20250101
POLX030116,POX020058,MAT_RM_2010,107,107,21.0,0.0,0.0,20250101
POLX030117,POX020059,MAT_RM_2010,98,98,20.0,0.0,0.0,20250101
POLX030118,POX020059,MAT_RM_2001,108,108,21.0,0.0,0.0,20250101
POLX030119,POX020060,MAT_RM_2001,99,99,20.0,0.0,0.0,20250101
POLX030120,POX020060,MAT_RM_2002,109,109,21.0,0.0,0.0,20250101
POLX030121,POX020061,MAT_RM_2002,100,100,20.0,0.0,0.0,20250101
POLX030122,POX020061,MAT_RM_2003,110,110,21.0,0.0,0.0,20250101
POLX030123,POX020062,MAT_RM_2003,101,101,20.0,0.0,0.0,20250101
POLX030124,POX020062,MAT_RM_2004,111,111,21.0,0.0,0.0,20250101
POLX030125,POX020063,MAT_RM_2004,102,102,20.0,0.0,0.0,20250101
POLX030126,POX020063,MAT_RM_2005,112,112,21.0,0.0,0.0,20250101
POLX030127,POX020064,MAT_RM_2005,103,103,20.0,0.0,0.0,20250101
POLX030128,POX020064,MAT_RM_2006,113,113,21.0,0.0,0.0,20250101
POLX030129,POX020065,MAT_RM_2006,104,104,20.0,0.0,0.0,20250101
POLX030130,POX020065,MAT_RM_2007,114,114,21.0,0.0,0.0,20250101
POLX030131,POX020066,MAT_RM_2007,105,105,20.0,0.0,0.0,20250101
POLX030132,POX020066,MAT_RM_2008,115,115,21.0,0.0,0.0,20250101
POLX030133,POX020067,MAT_RM_2008,106,106,20.0,0.0,0.0,20250101
POLX030134,POX020067,MAT_RM_2009,116,116,21.0,0.0,0.0,20250101
POLX030135,POX020068,MAT_RM_2009,107,107,20.0,0.0,0.0,20250101
POLX030136,POX020068,MAT_RM_2010,117,117,21.0,0.0,0.0,20250101
POLX030137,POX020069,MAT_RM_2010,108,107,20.0,0.0,0.0,20250101
POLX030138,POX020069,MAT_RM_2001,118,117,21.0,0.0,0.0,20250101
POLX030139,POX020070,MAT_RM_2001,109,109,20.0,0.0,0.0,20250101
POLX030140,POX020070,MAT_RM_2002,119,119,21.0,0.0,0.0,20250101
POLX030141,POX020071,MAT_RM_2002,110,110,20.0,0.0,0.0,20250101
POLX030142,POX020071,MAT_RM_2003,120,120,21.0,0.0,0.0,20250101
POLX030143,POX020072,MAT_RM_2003,111,111,20.0,0.0,0.0,20250101
POLX030144,POX020072,MAT_RM_2004,121,121,21.0,0.0,0.0,20250101
POLX030145,POX020073,MAT_RM_2004,112,112,20.0,0.0,0.0,20250101
POLX030146,POX020073,MAT_RM_2005,122,122,21.0,0.0,0.0,20250101
POLX030147,POX020074,MAT_RM_2005,113,113,20.0,0.0,0.0,20250101
POLX030148,POX020074,MAT_RM_2006,123,123,21.0,0.0,0.0,20250101
POLX030149,POX020075,MAT_RM_2006,114,114,20.0,0.0,0.0,20250101
POLX030150,POX020075,MAT_RM_2007,124,124,21.0,0.0,0.0,20250101
POLX030151,POX020076,MAT_RM_2007,115,115,20.0,0.0,0.0,20250101
POLX030152,POX020076,MAT_RM_2008,125,125,21.0,0.0,0.0,20250101
POLX030153,POX020077,MAT_RM_2008,116,116,20.0,0.0,0.0,20250101
POLX030154,POX020077,MAT_RM_2009,126,126,21.0,0.0,0.0,20250101
POLX030155,POX020078,MAT_RM_2009,117,117,20.0,0.0,0.0,20250101
POLX030156,POX020078,MAT_RM_2010,127,127,21.0,0.0,0.0,20250101
POLX030157,POX020079,MAT_RM_2010,118,118,20.0,0.0,0.0,20250101
POLX030158,POX020079,MAT_RM_2001,128,128,21.0,0.0,0.0,20250101
POLX030159,POX020080,MAT_RM_2001,119,119,20.0,0.0,0.0,20250101
POLX030160,POX020080,MAT_RM_2002,129,129,21.0,0.0,0.0,20250101
POLX030161,POX020081,MAT_RM_2002,80,80,20.0,0.0,0.0,20250101
POLX030162,POX020081,MAT_RM_2003,90,90,21.0,0.0,0.0,20250101
POLX030163,POX020082,MAT_RM_2003,81,81,20.0,0.0,0.0,20250101
POLX030164,POX020082,MAT_RM_2004,91,91,21.0,0.0,0.0,20250101
POLX030165,POX020083,MAT_RM_2004,82,82,20.0,0.0,0.0,20250101
POLX030166,POX020083,MAT_RM_2005,92,92,21.0,0.0,0.0,20250101
POLX030167,POX020084,MAT_RM_2005,83,83,20.0,0.0,0.0,20250101
POLX030168,POX020084,MAT_RM_2006,93,93,21.0,0.0,0.0,20250101
POLX030169,POX020085,MAT_RM_2006,84,84,20.0,0.0,0.0,20250101
POLX030170,POX020085,MAT_RM_2007,94,94,21.0,0.0,0.0,20250101
POLX030171,POX020086,MAT_RM_2007,85,84,20.0,0.0,0.0,20250101
POLX030172,POX020086,MAT_RM_2008,95,94,21.0,0.0,0.0,20250101
POLX030173,POX020087,MAT_RM_2008,86,86,20.0,0.0,0.0,20250101
POLX030174,POX020087,MAT_RM_2009,96,96,21.0,0.0,0.0,20250101
POLX030175,POX020088,MAT_RM_2009,87,87,20.0,0.0,0.0,20250101
POLX030176,POX020088,MAT_RM_2010,97,97,21.0,0.0,0.0,20250101
POLX030177,POX020089,MAT_RM_2010,88,88,20.0,0.0,0.0,20250101
POLX030178,POX020089,MAT_RM_2001,98,98,21.0,0.0,0.0,20250101
POLX030179,POX020090,MAT_RM_2001,89,89,20.0,0.0,0.0,20250101
POLX030180,POX020090,MAT_RM_2002,99,99,21.0,0.0,0.0,20250101
POLX030181,POX020091,MAT_RM_2003,80,79,22.0,0.0,0.0,20250101
POLX030182,POX020091,MAT_RM_2004,90,89,23.0,0.0,0.0,20250101
POLX030183,POX020092,MAT_RM_2004,81,81,22.0,0.0,0.0,20250101
POLX030184,POX020092,MAT_RM_2005,91,91,23.0,0.0,0.0,20250101
POLX030185,POX020093,MAT_RM_2005,82,82,22.0,0.0,0.0,20250101
POLX030186,POX020093,MAT_RM_2006,92,92,23.0,0.0,0.0,20250101
POLX030187,POX020094,MAT_RM_2006,83,83,22.0,0.0,0.0,20250101
POLX030188,POX020094,MAT_RM_2007,93,93,23.0,0.0,0.0,20250101
POLX030189,POX020095,MAT_RM_2007,84,84,22.0,0.0,0.0,20250101
POLX030190,POX020095,MAT_RM_2008,94,94,23.0,0.0,0.0,20250101
POLX030191,POX020096,MAT_RM_2008,85,85,22.0,0.0,0.0,20250101
POLX030192,POX020096,MAT_RM_2009,95,95,23.0,0.0,0.0,20250101
POLX030193,POX020097,MAT_RM_2009,86,86,22.0,0.0,0.0,20250101
POLX030194,POX020097,MAT_RM_2010,96,96,23.0,0.0,0.0,20250101
POLX030195,POX020098,MAT_RM_2010,87,87,22.0,0.0,0.0,20250101
POLX030196,POX020098,MAT_RM_2001,97,97,23.0,0.0,0.0,20250101
POLX030197,POX020099,MAT_RM_2001,88,88,22.0,0.0,0.0,20250101
POLX030198,POX020099,MAT_RM_2002,98,98,23.0,0.0,0.0,20250101
POLX030199,POX020100,MAT_RM_2002,89,89,22.0,0.0,0.0,20250101
POLX030200,POX020100,MAT_RM_2003,99,99,23.0,0.0,0.0,20250101
POLX030201,POX020101,MAT_RM_2003,90,90,22.0,0.0,0.0,20250101
POLX030202,POX020101,MAT_RM_2004,100,100,23.0,0.0,0.0,20250101
POLX030203,POX020102,MAT_RM_2004,91,91,22.0,0.0,0.0,20250101
POLX030204,POX020102,MAT_RM_2005,101,101,23.0,0.0,0.0,20250101
POLX030205,POX020103,MAT_RM_2005,92,92,22.0,0.0,0.0,20250101
POLX030206,POX020103,MAT_RM_2006,102,102,23.0,0.0,0.0,20250101
POLX030207,POX020104,MAT_RM_2006,93,93,22.0,0.0,0.0,20250101
POLX030208,POX020104,MAT_RM_2007,103,103,23.0,0.0,0.0,20250101
POLX030209,POX020105,MAT_RM_2007,94,94,22.0,0.0,0.0,20250101
POLX030210,POX020105,MAT_RM_2008,104,104,23.0,0.0,0.0,20250101
POLX030211,POX020106,MAT_RM_2008,95,95,22.0,0.0,0.0,20250101
POLX030212,POX020106,MAT_RM_2009,105,105,23.0,0.0,0.0,20250101
POLX030213,POX020107,MAT_RM_2009,96,96,22.0,0.0,0.0,20250101
POLX030214,POX020107,MAT_RM_2010,106,106,23.0,0.0,0.0,20250101
POLX030215,POX020108,MAT_RM_2010,97,96,22.0,0.0,0.0,20250101
POLX030216,POX020108,MAT_RM_2001,107,106,23.0,0.0,0.0,20250101
POLX030217,POX020109,MAT_RM_2001,98,98,22.0,0.0,0.0,20250101
POLX030218,POX020109,MAT_RM_2002,108,108,23.0,0.0,0.0,20250101
POLX030219,POX020110,MAT_RM_2002,99,99,22.0,0.0,0.0,20250101
POLX030220,POX020110,MAT_RM_2003,109,109,23.0,0.0,0.0,20250101
POLX030221,POX020111,MAT_RM_2003,100,100,22.0,0.0,0.0,20250101
POLX030222,POX020111,MAT_RM_2004,110,110,23.0,0.0,0.0,20250101
POLX030223,POX020112,MAT_RM_2004,101,101,22.0,0.0,0.0,20250101
POLX030224,POX020112,MAT_RM_2005,111,111,23.0,0.0,0.0,20250101
POLX030225,POX020113,MAT_RM_2005,102,102,22.0,0.0,0.0,20250101
POLX030226,POX020113,MAT_RM_2006,112,112,23.0,0.0,0.0,20250101
POLX030227,POX020114,MAT_RM_2006,103,103,22.0,0.0,0.0,20250101
POLX030228,POX020114,MAT_RM_2007,113,113,23.0,0.0,0.0,20250101
POLX030229,POX020115,MAT_RM_2007,104,104,22.0,0.0,0.0,20250101
POLX030230,POX020115,MAT_RM_2008,114,114,23.0,0.0,0.0,20250101
POLX030231,POX020116,MAT_RM_2008,105,105,22.0,0.0,0.0,20250101
POLX030232,POX020116,MAT_RM_2009,115,115,23.0,0.0,0.0,20250101
POLX030233,POX020117,MAT_RM_2009,106,106,22.0,0.0,0.0,20250101
POLX030234,POX020117,MAT_RM_2010,116,116,23.0,0.0,0.0,20250101
POLX030235,POX020118,MAT_RM_2010,107,107,22.0,0.0,0.0,20250101
POLX030236,POX020118,MAT_RM_2001,117,117,23.0,0.0,0.0,20250101
POLX030237,POX020119,MAT_RM_2001,108,108,22.0,0.0,0.0,20250101
POLX030238,POX020119,MAT_RM_2002,118,118,23.0,0.0,0.0,20250101
POLX030239,POX020120,MAT_RM_2002,109,109,22.0,0.0,0.0,20250101
POLX030240,POX020120,MAT_RM_2003,119,119,23.0,0.0,0.0,20250101
POLX030241,POX020121,MAT_RM_2003,110,110,22.0,0.0,0.0,20250101
POLX030242,POX020121,MAT_RM_2004,120,120,23.0,0.0,0.0,20250101
POLX030243,POX020122,MAT_RM_2004,111,111,22.0,0.0,0.0,20250101
POLX030244,POX020122,MAT_RM_2005,121,121,23.0,0.0,0.0,20250101
POLX030245,POX020123,MAT_RM_2005,112,112,22.0,0.0,0.0,20250101
POLX030246,POX020123,MAT_RM_2006,122,122,23.0,0.0,0.0,20250101
POLX030247,POX020124,MAT_RM_2006,113,113,22.0,0.0,0.0,20250101
POLX030248,POX020124,MAT_RM_2007,123,123,23.0,0.0,0.0,20250101
POLX030249,POX020125,MAT_RM_2007,114,113,22.0,0.0,0.0,20250101
POLX030250,POX020125,MAT_RM_2008,124,123,23.0,0.0,0.0,20250101
POLX030251,POX020126,MAT_RM_2008,115,115,22.0,0.0,0.0,20250101
POLX030252,POX020126,MAT_RM_2009,125,125,23.0,0.0,0.0,20250101
POLX030253,POX020127,MAT_RM_2009,116,116,22.0,0.0,0.0,20250101
POLX030254,POX020127,MAT_RM_2010,126,126,23.0,0.0,0.0,20250101
POLX030255,POX020128,MAT_RM_2010,117,117,22.0,0.0,0.0,20250101
POLX030256,POX020128,MAT_RM_2001,127,127,23.0,0.0,0.0,20250101
POLX030257,POX020129,MAT_RM_2001,118,118,22.0,0.0,0.0,20250101
POLX030258,POX020129,MAT_RM_2002,128,128,23.0,0.0,0.0,20250101
POLX030259,POX020130,MAT_RM_2002,119,119,22.0,0.0,0.0,20250101
POLX030260,POX020130,MAT_RM_2003,129,129,23.0,0.0,0.0,20250101
POLX030261,POX020131,MAT_RM_2003,80,80,22.0,0.0,0.0,20250101
POLX030262,POX020131,MAT_RM_2004,90,90,23.0,0.0,0.0,20250101
POLX030263,POX020132,MAT_RM_2004,81,81,22.0,0.0,0.0,20250101
POLX030264,POX020132,MAT_RM_2005,91,91,23.0,0.0,0.0,20250101
POLX030265,POX020133,MAT_RM_2005,82,82,22.0,0.0,0.0,20250101
POLX030266,POX020133,MAT_RM_2006,92,92,23.0,0.0,0.0,20250101
POLX030267,POX020134,MAT_RM_2006,83,83,22.0,0.0,0.0,20250101
POLX030268,POX020134,MAT_RM_2007,93,93,23.0,0.0,0.0,20250101
POLX030269,POX020135,MAT_RM_2007,84,84,22.0,0.0,0.0,20250101
POLX030270,POX020135,MAT_RM_2008,94,94,23.0,0.0,0.0,20250101
POLX030271,POX020136,MAT_RM_2008,85,85,22.0,0.0,0.0,20250101
POLX030272,POX020136,MAT_RM_2009,95,95,23.0,0.0,0.0,20250101
POLX030273,POX020137,MAT_RM_2009,86,86,22.0,0.0,0.0,20250101
POLX030274,POX020137,MAT_RM_2010,96,96,23.0,0.0,0.0,20250101
POLX030275,POX020138,MAT_RM_2010,87,87,22.0,0.0,0.0,20250101
POLX030276,POX020138,MAT_RM_2001,97,97,23.0,0.0,0.0,20250101
POLX030277,POX020139,MAT_RM_2001,88,88,22.0,0.0,0.0,20250101
POLX030278,POX020139,MAT_RM_2002,98,98,23.0,0.0,0.0,20250101
POLX030279,POX020140,MAT_RM_2002,89,89,22.0,0.0,0.0,20250101
POLX030280,POX020140,MAT_RM_2003,99,99,23.0,0.0,0.0,20250101
POLX030281,POX020141,MAT_RM_2003,90,90,22.0,0.0,0.0,20250101
POLX030282,POX020141,MAT_RM_2004,100,100,23.0,0.0,0.0,20250101
POLX030283,POX020142,MAT_RM_2004,91,90,22.0,0.0,0.0,20250101
POLX030284,POX020142,MAT_RM_2005,101,100,23.0,0.0,0.0,20250101
POLX030285,POX020143,MAT_RM_2005,92,92,22.0,0.0,0.0,20250101
POLX030286,POX020143,MAT_RM_2006,102,102,23.0,0.0,0.0,20250101
POLX030287,POX020144,MAT_RM_2006,93,93,22.0,0.0,0.0,20250101
POLX030288,POX020144,MAT_RM_2007,103,103,23.0,0.0,0.0,20250101
POLX030289,POX020145,MAT_RM_2007,94,94,22.0,0.0,0.0,20250101
POLX030290,POX020145,MAT_RM_2008,104,104,23.0,0.0,0.0,20250101
POLX030291,POX020146,MAT_RM_2008,95,95,22.0,0.0,0.0,20250101
